assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,defensivestyle,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,chancecreation,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,defensivewidth,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,playersinboxcorner,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,playersinboxfk,stanchionflamethrower,stadiumgoalnetpattern,captainid,offensivestyle,personalityid,playersinboxcross,prev_el_champ,leftfreekicktakerid,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,offensivewidth,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
12,25,224,84000,255,53,255,1876,7,235,33,34,1,54,25,1,33,7,255,53,Middlesbrough,34,0,-1,2,0,227806,0,8,-1,50,0,2,0,4,0,5,0,0,33931,0,2,315,60,13,0,2,70,0,71,70,69,2,-1,0,70,0,-1,70,2,0,0,227806,139394,2,227806,0,0,0,2,227806,6,12,0,168066,0,2,0,0,183422,2,0,3,0,227806,0,0,3,0,71,55,70,7,0,237295,0,227806,2,1,0,316,0,-1,264322,69
13,30,30,730480,255,40,255,1892,9,30,25,30,2,54,30,2,25,9,255,40,Newcastle United,30,0,-1,3,0,206085,0,7,-1,60,0,2,1,4,0,7,0,0,52305,0,0,342,50,106,0,2,76,1,80,77,80,2,-1,1,72,0,-1,73,0,0,0,206085,65664,2,266127,0,0,6,2,206085,5,13,0,114816,0,2,0,0,198032,0,0,3,0,206085,4,0,3,0,80,68,50,1,0,233731,0,206085,2,6,0,366,0,-1,131200,81
14,36,221,172500,255,36,255,1865,221,210,33,33,2,52,36,2,33,221,255,36,Nottingham Forest,33,0,-1,1,0,236015,0,3,-1,40,0,2,1,5,0,6,0,0,30445,0,2,352,60,91,0,2,76,1,77,77,76,2,-1,1,74,0,-1,74,2,0,0,236015,262464,2,236015,2,0,2,6,236015,6,14,0,4243776,0,2,0,0,235642,0,1,3,0,236015,1,0,3,0,77,68,70,4,0,236015,0,236015,2,1,0,366,0,-1,524608,77
15,66,32,28000,255,43,255,1882,31,32,109,151,1,51,66,1,109,31,255,43,Queens Park Rangers,171,0,-1,1,0,238490,0,4,-1,60,0,2,3,4,0,3,0,0,18439,5,2,285,50,144,0,2,71,1,70,71,69,2,0,3,70,0,-1,70,2,0,0,228120,132352,2,228120,0,0,0,3,238490,6,15,0,319744,0,2,0,0,172723,1,1,2,0,238490,0,0,3,0,70,55,70,6,0,238490,0,238490,2,1,0,316,0,-1,4198656,69
17,0,228,395000,255,26,255,1885,236,211,27,43,2,50,10,2,27,236,255,26,Southampton,10,0,-1,3,0,226012,1,9,-1,70,0,1,0,3,0,6,0,0,32384,0,0,459,50,1790,0,2,72,1,73,72,74,2,-1,0,74,0,-1,74,0,0,0,226012,2098304,2,226012,0,0,1,1,220196,8,17,0,2154624,0,2,0,0,202697,1,0,4,0,226012,0,0,3,0,73,55,60,6,0,221841,0,226012,2,3,0,366,0,-1,2101376,74
18,255,255,2576000,75,37,15,1882,29,153,110,255,2,51,177,2,110,29,32,37,Tottenham Hotspur,211,0,-1,2,0,220697,0,7,-1,70,0,1,0,6,0,9,0,0,62850,0,0,285,50,1,0,1,81,1,82,81,81,2,0,0,81,1,-1,80,2,0,0,243576,132228,3,220697,0,0,8,4,220697,6,18,2,172164,0,2,0,0,200104,1,0,5,0,220697,2,0,3,0,81,68,70,5,0,200104,0,220697,2,7,0,366,0,-1,266372,83
19,37,123,993600,231,38,27,1895,16,100,32,57,2,51,30,2,32,16,177,38,West Ham United,60,1,-1,1,0,210736,0,6,-1,40,0,2,2,3,0,7,0,0,60000,0,1,285,40,97,0,2,80,1,78,80,78,2,0,2,77,0,-1,78,0,0,0,210736,4195392,2,224371,0,0,3,1,210736,6,19,0,548928,0,2,0,0,204311,1,0,3,0,210736,0,0,3,1,79,68,60,5,0,233927,0,210736,2,6,0,366,0,-1,528448,76
21,5,220,3820100,255,255,255,1900,255,1,1,45,3,48,1,3,255,200,255,1,Bayern München,1,0,-1,2,1,222492,0,10,-1,80,0,2,0,4,0,10,0,0,75000,1,1,333,50,22,0,1,84,1,83,83,90,2,11,0,81,1,-1,83,1,0,0,222492,131716,1,212622,6,0,20,2,212622,7,21,1,164484,0,2,0,0,167495,0,1,7,0,222492,33,0,4,0,84,49,70,6,1,202126,0,222492,2,9,0,366,0,-1,263300,90
22,217,255,1701909,1,157,1,1909,149,245,152,1,2,51,255,2,152,149,1,157,Borussia Dortmund,1,0,-1,3,1,212194,0,9,-1,80,0,2,1,4,0,9,1,0,81365,12,1,141,50,34,0,1,82,1,82,83,81,2,7,1,82,1,-1,81,1,0,0,212194,73860,3,212194,1,0,5,2,212194,8,22,0,102532,0,2,0,0,208333,2,0,5,0,212194,8,0,4,0,81,49,40,6,1,208333,0,212194,2,7,0,366,0,-1,133252,80
23,1,1,303990,255,1,255,1900,1,122,255,1,2,51,185,2,1,255,255,255,Borussia M'gladbach,41,0,-1,1,1,220876,0,5,-1,60,0,2,3,4,0,7,1,0,54042,0,1,322,60,31,0,1,77,1,74,75,75,2,6,3,73,1,-1,75,1,0,0,220876,263170,3,220876,0,0,3,3,220876,7,23,2,4218882,0,2,0,0,222028,1,0,6,0,220876,5,0,4,0,76,49,60,8,1,206467,0,220876,2,5,0,366,0,-1,528386,73
25,1,228,278690,1,1,1,1904,220,255,1,43,2,48,255,2,1,220,1,1,SC Freiburg,255,0,-1,1,1,212096,4,4,-1,50,0,2,0,4,0,4,0,0,34700,1,1,168,40,36,0,1,76,1,75,75,77,2,7,0,75,1,-1,76,1,0,0,212096,132098,1,212096,0,0,0,2,212096,10,25,0,270338,0,2,0,0,209846,1,1,3,0,212096,0,0,4,0,76,49,60,7,1,212096,0,212096,2,4,0,366,0,-1,4198402,77
27,110,1,12850,255,235,255,1965,235,255,235,184,1,54,41,1,235,235,255,235,Hansa Rostock,31,0,-1,2,0,244133,0,3,-1,60,1,2,2,4,2,4,0,0,29000,5,1,641,60,110329,0,1,67,1,66,65,68,2,12,2,67,1,-1,67,1,0,0,244133,139520,1,244133,0,0,0,3,244133,7,27,0,151808,0,2,0,0,211946,2,0,5,0,244133,0,0,4,0,68,51,60,7,1,247187,0,244133,2,1,0,316,0,-1,264448,68
28,90,1,156410,255,1,255,1887,1,1,1,170,1,53,1,1,1,1,255,1,Hamburger SV,1,0,-1,3,0,234728,0,9,-1,70,0,2,0,4,0,6,1,2,57000,11,1,205,60,110329,0,1,72,1,71,72,71,2,9,0,71,1,-1,70,1,0,0,234728,66561,3,234728,1,0,3,2,234728,6,28,0,115713,0,2,0,0,214948,1,1,5,0,234728,6,0,4,0,71,51,70,3,1,234728,0,234728,2,2,0,316,0,-1,139265,72
29,1,255,15150,255,210,255,1900,210,153,210,1,1,49,24,1,210,210,255,210,1. FC Kaiserslautern,65,0,-1,1,0,223755,0,4,-1,50,0,2,2,4,2,5,0,0,49850,0,1,238,60,110532,0,1,68,1,70,70,69,2,7,2,70,1,-1,69,1,0,0,223755,4195329,1,247721,0,0,2,4,238662,8,29,0,581633,0,2,0,0,216381,1,0,4,0,223755,4,0,4,0,68,51,60,6,1,235360,0,223755,2,1,0,316,0,-1,528385,69
31,1,255,136520,255,150,255,1948,150,1,150,1,2,50,1,2,150,150,255,150,1. FC Köln,1,0,-1,1,1,195038,0,4,-1,50,0,2,2,4,0,7,0,0,50000,1,1,249,40,23,0,1,72,1,72,70,73,2,6,2,70,1,-1,72,1,0,0,195038,139392,3,195038,0,0,4,1,195038,8,31,0,266368,0,2,0,0,195038,2,0,5,0,195038,3,0,4,0,73,49,60,9,1,195038,0,195038,2,3,0,316,0,-1,4196480,73
32,1,255,465129,1,210,1,1904,210,255,210,1,2,51,255,2,210,210,1,210,Bayer 04 Leverkusen,255,0,-1,1,1,210035,0,8,-1,50,0,2,0,4,0,3,1,0,30210,0,1,277,60,31,0,1,83,1,83,84,82,2,7,0,82,1,-1,81,1,0,0,210035,263168,3,210324,0,0,1,2,210324,7,32,1,4228096,0,2,0,0,190941,1,0,3,0,210035,0,0,4,0,82,49,50,2,1,247679,0,210035,2,6,0,366,0,-1,532480,83
33,200,145,5580,255,240,255,1899,240,20,240,241,1,48,75,1,240,240,255,240,TSV 1860 München,175,0,-1,1,0,211850,0,8,-1,50,0,2,3,4,2,5,0,0,15000,0,1,333,50,111239,0,1,65,1,64,64,64,2,11,3,64,1,-1,65,1,0,0,212997,263184,1,212997,0,0,2,2,212997,9,33,0,4202512,0,2,0,0,238779,1,1,3,0,212997,1,0,4,0,65,57,50,6,1,238647,0,211850,2,1,0,316,0,-1,528400,61
34,75,1,319090,255,180,255,1904,180,13,180,156,1,51,70,1,180,180,255,180,FC Schalke 04,223,0,-1,3,1,229155,0,10,-1,70,0,2,3,4,0,7,1,0,62271,3,1,178,50,22,0,1,69,1,69,69,72,2,7,3,69,1,-1,70,1,0,0,229155,74049,3,229155,0,0,5,1,221885,9,34,1,86337,0,2,0,0,183714,2,0,4,0,229155,7,0,4,0,70,51,60,10,1,183714,0,229155,2,4,0,366,0,-1,133441,72
36,255,255,279120,41,30,211,1893,210,1,255,255,2,48,1,2,30,255,1,255,VfB Stuttgart,1,0,-1,2,1,250959,4,3,-1,60,0,2,3,4,0,7,0,0,60449,24,1,466,50,25,0,1,75,1,78,77,80,2,9,3,77,1,-1,76,1,0,0,241925,132097,1,250959,0,0,3,2,241925,7,36,0,172033,0,2,0,0,229476,1,0,3,0,215441,5,0,4,0,77,49,60,7,1,215441,0,250959,2,4,0,366,0,-1,266241,82
38,129,1,151700,255,255,255,1899,255,1,255,73,2,53,81,2,255,255,255,255,Werder Bremen,52,0,-1,2,1,197031,0,3,-1,50,0,2,3,4,0,6,1,0,42100,25,1,70,50,28,0,1,74,1,75,75,72,2,8,3,74,1,-1,73,1,0,0,197031,132224,3,197031,0,0,6,2,197031,6,38,0,132224,0,2,0,0,237595,1,0,5,0,197031,4,0,4,0,74,49,60,8,1,197031,0,197031,2,3,0,366,0,-1,270464,73
44,30,1,1000000,30,30,30,1908,30,255,30,160,3,45,255,3,30,30,30,30,Inter,255,0,-1,1,0,208128,0,10,-1,60,0,1,0,4,0,9,0,0,75817,0,1,316,50,47,0,1,83,1,83,84,83,2,9,0,83,1,-1,82,1,0,0,208128,132224,1,208128,3,0,9,2,208128,8,44,3,279680,0,2,0,0,231478,1,1,3,0,208128,19,0,4,0,83,72,50,3,1,208128,0,208128,2,8,0,366,0,-1,4202624,82
45,255,255,2000000,30,25,30,1897,25,248,25,255,2,45,151,2,25,25,30,25,Juventus,170,0,-1,1,0,246430,0,10,-1,40,0,2,0,3,0,10,0,0,41507,0,1,485,50,44,0,1,80,1,80,79,81,2,7,0,79,1,-1,80,1,0,0,222077,4195392,1,208574,2,0,14,3,208574,6,45,3,541760,0,2,0,0,199304,0,1,2,0,246430,36,0,0,0,80,72,50,2,1,246430,0,246430,2,9,0,366,0,-1,532544,82
47,2,247,1200000,30,1,30,1899,1,255,1,1,2,45,255,2,1,1,30,1,Milan,255,0,-1,3,0,240638,0,9,-1,70,0,2,0,4,0,9,0,0,75817,0,1,316,40,44,0,1,82,1,80,82,80,2,9,0,79,1,-1,80,1,0,0,232656,2098240,1,240638,7,0,5,1,232656,7,47,0,2154560,0,2,0,0,228881,1,1,5,0,232656,19,0,4,0,81,72,70,4,1,178509,0,232656,2,7,0,366,0,-1,2101312,80
50,212,255,71000,143,248,9,1913,249,249,249,0,1,44,249,1,249,249,48,248,Parma,249,0,-1,1,0,239978,0,9,-1,40,0,2,2,4,0,6,0,0,22352,0,1,653,40,189,0,1,72,1,71,72,69,2,10,2,70,1,-1,70,1,0,0,252794,4198424,1,239978,0,0,3,2,239978,7,50,2,559128,0,2,0,0,252442,3,1,4,0,252794,0,0,4,0,71,92,60,3,1,243154,0,252794,2,3,0,316,0,-1,526360,69
54,29,124,125000,255,29,255,1906,124,150,35,35,2,45,29,2,35,124,255,29,Torino,55,0,-1,2,0,193352,0,5,-1,50,0,1,0,4,0,6,0,0,27958,0,1,485,30,45,0,1,75,1,77,77,77,2,7,0,79,1,-1,77,1,0,0,193352,139336,1,193352,0,0,5,1,193352,6,54,0,151624,0,2,0,0,193352,2,1,2,0,193352,7,0,4,0,76,72,60,5,1,215333,0,193352,2,4,0,366,0,-1,264264,78
55,30,30,160000,255,30,255,1896,30,196,30,30,2,46,160,2,30,30,255,30,Udinese,64,0,-1,1,0,256115,0,4,-1,50,0,2,2,4,0,3,0,0,25144,8,1,499,40,116365,0,1,73,1,74,74,74,2,13,2,75,1,-1,73,1,0,0,256115,270344,1,256115,0,0,0,4,256115,6,55,0,4247560,0,2,0,0,222844,2,0,4,0,256115,0,0,4,0,74,72,70,9,1,268474,0,256115,2,3,0,366,0,-1,526344,73
57,112,32,60000,250,1,250,1905,1,1,1,184,1,47,116,1,1,1,250,1,AJ Auxerre,175,0,-1,3,0,234239,4,10,-1,60,0,2,3,4,0,4,0,0,18541,0,1,29,40,294,0,1,69,3,70,70,68,2,3,3,71,1,-1,70,0,0,0,234239,66689,0,234239,0,0,4,2,234239,3,57,0,66689,0,2,0,0,217565,1,0,4,0,234239,1,0,4,0,69,88,60,7,1,229448,0,234239,2,1,0,316,0,-1,139393,70
58,54,34,20000,250,97,250,1905,97,0,97,123,1,42,103,1,97,97,250,97,SC Bastia,206,0,-1,1,0,206243,4,4,-1,50,0,1,3,4,0,4,0,0,16078,0,1,42,50,614,0,1,66,3,66,66,66,2,9,3,65,1,-1,65,1,0,0,206243,4195392,0,263675,0,0,1,2,263675,2,58,0,532544,0,2,0,1,206243,1,0,2,0,206243,0,0,4,0,66,88,60,9,1,263675,0,206243,2,1,0,316,0,-1,528448,66
59,67,47,70000,250,1,250,1881,1,36,1,92,1,44,53,1,1,1,250,1,Girondins de Bordeaux,99,0,-1,1,0,236492,4,9,-1,50,0,2,3,4,0,5,0,0,42115,0,1,63,50,219,0,1,69,3,69,70,68,2,0,3,69,1,-1,69,1,0,0,236492,263300,1,236492,0,0,4,2,236492,9,59,0,4202628,0,2,0,0,224189,1,0,3,0,236492,6,0,4,0,68,88,50,6,1,224189,0,236492,2,1,0,316,0,-1,528516,70
62,1,222,40000,1,1,1,1912,1,250,1,23,1,48,250,1,1,1,1,1,En Avant Guingamp,250,0,-1,1,0,240259,4,6,-1,50,0,2,1,4,0,3,0,0,18462,0,1,201,50,378,0,1,67,3,66,66,67,2,-3,1,66,1,-1,66,0,0,0,240259,263170,1,240259,0,0,2,1,240259,4,62,0,4228098,0,2,0,0,212735,1,0,2,0,240259,0,0,4,0,66,88,60,6,1,213839,0,240259,2,1,0,316,0,-1,532482,66
64,1,184,160000,1,1,255,1906,1,182,1,28,2,50,25,2,1,1,213,1,RC Lens,44,0,-1,2,0,226789,4,7,-1,60,1,1,0,4,0,6,0,0,38223,18,1,274,50,65,0,1,76,1,77,76,76,2,2,0,78,1,-1,78,1,0,0,226789,132224,1,226789,0,0,0,2,226789,2,64,0,181376,0,2,0,1,204883,1,0,5,0,226789,1,0,4,0,76,26,60,5,1,212138,0,226789,2,4,0,366,0,-1,270464,76
65,30,224,200000,106,1,36,1944,1,250,1,20,2,50,250,2,1,1,32,1,LOSC Lille,250,0,-1,3,0,239763,4,6,-1,50,0,1,0,4,0,5,0,0,50186,13,1,279,50,64,0,1,76,1,76,76,80,2,3,0,75,1,-1,76,1,0,0,239763,66568,1,239763,0,0,6,2,239763,4,65,0,99336,0,2,0,0,190674,1,0,5,0,239763,4,0,4,0,76,26,60,5,1,243630,0,239763,2,4,0,366,0,-1,139272,78
66,250,250,734000,127,250,19,1950,250,180,250,250,2,45,1,2,250,250,56,250,Olympique Lyonnais,1,0,-1,2,0,193301,4,7,-1,60,1,1,0,4,0,7,0,0,59186,0,1,293,50,1819,0,1,77,1,76,77,77,2,4,0,75,1,-1,75,1,0,0,193301,132098,3,220621,0,0,5,2,220621,9,66,0,164866,0,2,0,0,193301,1,0,4,0,193301,7,0,4,0,76,26,50,5,1,193301,0,193301,2,4,0,366,0,-1,270338,78
68,5,99,70000,250,1,250,1932,1,112,1,5,1,49,14,1,1,1,250,1,FC Metz,29,0,-1,1,0,275138,4,1,-1,40,0,1,1,4,0,3,0,0,24985,0,1,313,50,76,0,1,69,3,70,67,73,2,6,1,70,1,-1,71,1,0,0,275138,4202560,1,275138,0,0,2,2,275138,5,68,0,544832,0,2,0,0,229236,2,1,4,0,275138,0,0,4,0,71,26,50,7,1,254551,0,275138,2,1,0,316,0,-1,526400,73
69,30,224,430000,250,1,250,1924,1,250,1,35,2,43,33,2,1,1,250,1,AS Monaco,64,0,-1,3,0,225663,4,8,-1,70,0,1,0,4,0,6,0,0,18523,1,1,321,50,72,0,1,78,1,78,78,79,2,7,0,77,1,-1,76,0,0,0,225663,2098310,0,225663,0,0,5,2,225663,4,69,0,2154630,0,2,0,0,199451,1,0,3,0,225663,8,0,4,0,77,26,50,4,1,199451,0,225663,2,4,0,366,0,-1,2101382,78
70,90,1,110000,38,1,244,1974,1,250,1,148,2,43,250,2,1,1,148,1,Montpellier HSC,250,0,-1,1,0,205686,4,4,-1,50,0,2,1,4,0,4,0,0,22000,0,1,326,50,219,0,1,74,3,73,74,73,2,3,1,70,1,-1,71,1,0,0,205686,4195328,1,205686,0,0,2,1,205686,8,70,0,525312,0,2,0,0,205686,1,1,3,0,205686,1,0,4,0,74,26,50,6,1,205686,0,205686,2,2,0,366,0,-1,532480,72
71,220,255,150000,44,1,1,1943,1,254,1,17,2,47,221,2,1,1,87,1,FC Nantes,57,0,-1,1,0,209288,4,4,-1,50,0,2,0,4,0,5,0,0,35322,18,1,337,60,74,0,1,72,3,72,71,73,2,-1,0,71,1,-1,73,1,0,0,209288,139521,1,209288,0,0,4,8,209288,5,71,0,315649,0,2,0,0,224019,2,1,2,0,209288,8,0,4,0,73,26,70,6,1,254247,0,209288,2,2,0,316,0,-1,4196609,72
72,1,204,200000,1,1,1,1904,1,201,1,1,2,43,18,2,1,1,1,1,OGC Nice,27,0,-1,3,0,224422,4,6,-1,70,1,2,0,4,0,4,0,0,35596,0,1,344,60,69,0,1,76,3,76,76,76,2,7,0,77,1,-1,77,1,0,0,158625,66698,1,224422,0,0,3,3,224422,2,72,0,115850,0,2,0,0,158625,0,1,6,0,224422,4,0,4,0,76,26,60,4,1,210896,0,224422,2,4,0,366,0,-1,139402,76
73,62,1,4210000,41,62,200,1970,1,250,116,116,3,48,250,3,116,1,42,62,Paris Saint-Germain,250,0,-1,3,0,235212,4,10,-1,80,0,2,0,4,0,10,1,0,47929,0,1,373,50,219,0,1,81,1,83,81,84,2,2,0,82,1,-1,81,1,0,0,235212,66692,3,231443,0,0,14,3,231443,4,73,0,99460,0,2,0,0,207865,0,1,4,0,235212,11,0,4,0,83,26,60,1,1,231747,0,235212,2,9,0,366,0,-1,139396,84
74,24,202,180000,1,1,1,1901,1,250,1,10,2,48,250,2,1,1,1,1,Stade Rennais,250,0,-1,1,0,214097,4,7,-1,60,0,1,3,4,0,5,0,0,29164,0,1,400,50,71,0,1,77,1,76,76,77,2,-1,3,74,1,-1,74,1,0,0,214097,132100,1,214097,0,0,3,1,214097,7,74,0,303108,0,2,0,0,163705,1,0,2,0,214097,0,0,4,0,76,26,50,4,1,236786,0,214097,2,4,0,366,0,-1,4198404,76
76,102,51,130000,250,182,250,1906,182,1,182,204,2,48,159,2,182,182,250,182,RC Strasbourg,227,0,-1,1,0,250789,4,4,-1,50,0,2,3,4,0,5,0,0,26109,3,1,564,40,68,0,1,72,3,72,72,73,2,7,3,71,1,-1,71,1,0,0,250789,4195330,1,250789,0,0,3,9,203741,5,76,0,548866,0,2,0,0,227222,1,0,3,0,176600,1,0,4,0,72,26,60,6,1,176600,0,250789,2,2,0,316,0,-1,528386,73
77,0,240,8500,255,0,255,1903,240,255,0,0,1,57,0,1,0,240,255,0,Aberdeen,0,0,-1,1,0,253970,0,8,-1,50,0,2,1,4,0,5,0,0,20866,1,0,3,60,86,0,1,69,1,68,69,70,2,-2,1,67,0,-1,67,0,0,0,253970,132096,0,253970,0,0,7,2,253970,7,77,0,312320,0,2,0,1,200302,1,1,4,0,253970,4,0,3,0,68,90,70,4,0,269953,0,253970,2,3,0,316,0,-1,4202496,70
