cpmorph_mouth_tweak_c,cpmorph_chin_tweak_a,cpmorph_brow_tweak_b,cpmorph_nose_preset,cpmorph_chin_tweak_b,cpmorph_eye_tweak_d,cpmorph_forehead_preset,cpmorph_head_tweak_a,cpmorph_forehead_tweak_a,cpmorph_nose_tweak_c,cpmorph_brow_tweak_c,cpmorph_chin_tweak_e,cpmorph_brow_tweak_e,cpmorph_nose_tweak_b,cpmorph_nose_tweak_d,cpmorph_brow_tweak_d,cpmorph_head_tweak_e,cpmorph_forehead_tweak_e,cpmorph_ear_tweak_a,cpmorph_chin_preset,cpmorph_mouth_tweak_a,cpmorph_chin_tweak_c,cpmorph_eye_tweak_a,cpmorph_nose_tweak_e,cpmorph_chin_tweak_d,cpmorph_forehead_tweak_b,cpmorph_head_tweak_b,cpmorph_ear_preset,cpmorph_eye_preset,cpmorph_head_tweak_d,cpmorph_forehead_tweak_d,cpmorph_head_tweak_c,cpmorph_forehead_tweak_c,cpmorph_brow_tweak_a,cpmorph_eye_tweak_b,cpmorph_ear_tweak_e,cpmorph_brow_preset,cpmorph_head_preset,cpmorph_mouth_tweak_e,cpmorph_eye_tweak_e,cpmorph_nose_tweak_a,cpmorph_mouth_tweak_b,cpmorph_mouth_tweak_d,cpmorph_ear_tweak_d,cpmorph_mouth_preset,cpmorph_ear_tweak_b,cpmorph_eye_tweak_c,cpmorph_ear_tweak_c,cpmorph_mouth_preset_weight,cpmorph_forehead_preset_weight,cpmorph_ear_preset_weight,create_playerid,cpmorph_nose_preset_weight,cpmorph_head_preset_weight,cpmorph_eye_preset_weight,cpmorph_brow_preset_weight,cpmorph_chin_preset_weight
-26,-21,-35,27,-75,-95,0,-42,0,75,-91,7,12,9,-27,92,52,0,67,3,-100,68,-70,37,0,0,23,4,10,66,0,-4,0,100,26,32,0,10,0,0,-61,6,13,89,7,100,32,-43,41,100,70,199845,77,32,100,0,100
46,-63,-55,5,86,86,0,-74,0,-67,-100,62,88,29,56,-97,31,0,46,2,-2,-48,-100,-49,43,0,22,10,19,47,0,3,0,-89,37,-100,0,5,0,0,-100,-99,92,-88,19,100,17,47,77,100,26,203843,69,57,58,71,66
-100,-82,-79,19,64,60,0,-10,0,-49,-17,-20,-81,18,13,5,25,0,-46,2,30,-9,-10,-81,40,0,-50,3,17,50,0,-8,0,24,-18,-82,0,8,0,0,100,-100,21,85,5,-12,54,9,6,100,61,204277,100,90,100,0,89
-58,28,-39,0,38,69,0,-58,0,-21,-100,-37,33,46,-52,-33,35,0,33,1,29,22,-37,-39,31,0,38,13,0,95,0,-14,0,-62,35,-100,0,0,0,0,-36,-18,52,20,7,75,3,-71,86,100,100,205632,65,81,57,78,80
69,-20,-95,1,34,31,0,0,0,-45,100,-8,0,-33,87,-33,0,0,5,2,-100,1,-31,-54,30,0,52,4,10,73,0,88,0,48,-21,27,0,10,0,0,31,18,-100,88,19,-100,20,29,100,100,65,205686,61,25,90,0,19
-22,-67,-80,0,65,10,0,-19,0,69,-44,-24,-61,-33,22,33,-58,0,-7,4,-76,44,-17,3,58,0,-14,9,0,39,0,7,0,-97,-29,-100,0,11,0,0,-61,-100,5,12,19,-100,-18,-100,100,100,60,209519,74,65,78,0,50
-42,52,-100,12,1,-100,0,-1,0,-52,-100,-95,100,99,29,7,-44,0,-27,3,-16,50,-10,-57,24,0,-10,10,17,45,0,-61,0,45,39,-100,0,12,0,0,-100,16,100,63,2,100,-20,-46,84,100,52,210315,75,82,83,80,78
-74,56,3,19,26,-100,0,5,0,-42,43,8,26,-3,86,-74,-6,0,-23,4,-50,-91,24,-12,0,0,-27,4,10,82,0,-3,0,37,-1,-44,0,12,0,0,-61,-65,-47,100,7,-98,26,54,85,100,70,211857,9,68,72,0,88
26,3,7,1,-18,-100,0,16,0,52,-100,-36,-10,31,-18,37,-78,0,73,1,-100,-27,25,16,-27,0,58,7,2,-100,0,14,0,-78,16,39,0,2,0,0,100,52,-63,-100,8,100,-18,26,84,100,54,212523,82,81,81,0,100
-38,-80,-39,20,93,0,0,0,0,50,-100,-58,35,48,74,-42,10,0,41,4,-97,-5,-58,8,63,0,15,3,14,41,0,39,0,-76,33,99,0,6,0,0,-84,78,100,52,6,100,52,12,10,100,83,214097,14,40,100,0,48
-36,-84,22,5,-62,13,0,-50,0,-43,-46,16,29,-4,-11,-85,72,0,-100,3,-65,35,-61,-39,43,0,24,3,0,44,0,-33,0,-33,7,12,0,9,0,0,-64,62,-30,100,7,100,68,51,65,100,74,214979,100,67,74,0,63
87,-100,-50,22,71,-3,0,-100,0,63,-100,-47,100,26,39,37,-21,0,25,4,-100,6,-76,18,100,0,97,4,13,100,0,14,0,-100,58,45,0,1,0,0,43,100,-100,27,6,89,-10,43,100,100,80,216320,95,100,100,0,100
-63,-54,-90,17,71,-48,0,-48,0,10,-57,-67,1,58,7,37,52,0,-23,4,-52,47,35,-3,41,0,16,11,17,84,0,-27,0,-35,58,-100,0,0,0,0,-25,-33,-46,44,6,100,-41,16,100,100,43,216409,77,92,82,0,100
-69,-8,-93,2,14,33,0,-100,0,-1,-100,-16,100,56,62,62,41,0,-10,1,-46,94,-23,-36,45,0,16,4,0,71,0,-72,0,35,-16,-63,0,10,0,0,-42,100,-72,100,6,-50,100,67,27,100,50,217731,86,91,74,0,69
-29,-3,5,6,100,39,0,47,0,-5,-3,-48,6,56,5,61,-78,0,-29,1,-100,-1,-16,1,-5,0,48,11,17,88,0,2,0,27,16,1,0,2,0,0,-70,3,100,63,18,-29,-87,100,78,100,85,219693,58,81,79,0,76
12,20,-18,12,39,-3,0,65,0,-42,23,-24,-40,-1,100,84,37,0,78,6,-35,27,61,-80,25,0,-10,7,16,61,0,-27,0,-100,-69,-5,0,10,0,0,16,7,-20,-100,13,100,-76,-100,67,100,85,219789,70,79,78,0,100
11,100,-65,2,85,56,0,14,0,-100,1,-88,3,26,67,-100,5,0,16,4,-22,27,-50,-52,14,0,-14,0,16,-13,0,-31,0,-8,-5,-80,0,12,0,0,-1,-100,69,100,0,100,54,42,84,100,88,220821,90,25,29,69,90
-71,-21,-100,19,78,-100,0,-25,0,37,45,-62,100,8,-52,-1,32,0,-1,1,-100,-4,-30,25,25,0,33,4,2,11,0,-19,0,0,-31,60,0,6,0,0,-65,-99,20,77,1,32,-48,-94,71,100,76,223550,64,85,91,0,49
-54,-17,-79,19,-57,22,0,-69,0,71,-100,29,-2,2,62,18,-6,0,77,6,-2,35,-23,7,55,0,-84,9,0,28,0,-31,0,15,29,-100,0,7,0,0,65,-8,23,71,7,94,-58,-95,73,100,42,223578,100,83,83,95,67
68,-14,-11,12,49,21,0,60,0,-68,-23,6,47,45,47,8,-11,0,-100,6,-100,49,-15,-42,26,0,38,11,18,-60,0,49,0,-100,-45,-64,0,9,0,0,-47,-38,-36,94,13,45,-2,100,37,100,83,225085,74,90,81,0,100
-37,-26,-7,2,64,-50,0,18,0,-33,-94,9,100,58,-11,-25,60,0,40,3,9,-37,3,-16,-14,0,-29,3,14,54,0,-28,0,18,54,45,0,8,0,0,-90,16,-12,100,7,100,33,54,85,100,57,225126,87,91,74,0,79
7,-44,-42,0,50,35,0,-45,0,-12,-14,-33,71,-1,60,7,22,0,-29,1,5,-1,-42,9,58,0,30,13,15,-28,0,-32,0,-1,-12,26,0,5,0,0,-14,-100,41,23,7,-100,60,-58,56,100,98,226157,89,70,81,0,84
5,-23,1,8,14,100,0,0,0,84,-55,-10,-17,-13,-6,22,-22,0,-21,2,-3,77,-46,24,15,0,28,10,2,-56,0,18,0,84,-52,-16,0,9,0,0,-100,-3,-47,-69,19,48,-48,63,83,100,83,228716,81,25,57,48,95
38,-52,22,8,58,54,0,-96,0,78,-30,-43,9,67,-31,35,-82,0,52,2,29,58,-69,61,26,0,-65,9,17,100,0,-73,0,-93,-15,-42,0,9,0,0,24,100,27,100,7,78,12,88,69,100,100,229752,56,96,16,0,30
46,-14,43,12,-55,63,0,29,0,-1,1,-24,22,3,67,84,0,0,0,6,28,27,63,-57,25,0,35,12,14,41,0,-37,0,55,-58,58,0,10,0,0,35,35,-20,94,4,98,-46,75,80,100,100,229942,88,79,100,0,100
-74,-54,-100,19,100,-60,0,10,0,-6,-100,-10,52,-6,58,-41,-26,0,1,3,-82,27,-37,-52,93,0,3,8,3,-55,0,-52,0,39,-16,12,0,10,0,0,-15,56,100,-80,10,50,-13,-100,56,100,38,229980,9,61,75,60,48
-88,-26,-52,3,100,-75,0,3,0,29,-12,-7,100,22,-100,63,-32,0,44,2,-90,54,-18,-24,90,0,33,12,15,-52,0,-37,0,-9,-34,-100,0,6,0,0,-73,-100,100,100,7,-100,-63,57,68,100,64,230786,100,57,69,0,43
1,50,-3,9,46,56,0,-37,0,14,-65,89,-8,18,76,26,43,0,16,1,20,-46,-35,7,-80,0,7,4,10,61,0,56,0,-12,7,50,0,4,0,0,-46,75,-12,65,7,100,-29,-100,88,100,32,231102,82,77,79,0,88
61,7,-58,17,100,73,0,55,0,-15,24,26,82,2,-66,32,-2,0,-85,6,-2,63,-37,-32,7,0,36,3,10,-19,0,63,0,-100,2,70,0,6,0,0,-63,-25,38,100,0,100,-70,100,42,100,44,231521,63,78,79,0,80
-5,100,-97,23,69,-82,0,-3,0,-10,-56,-41,100,-10,12,-33,5,0,-18,1,-48,-12,-22,-18,5,0,-31,4,6,78,0,-14,0,56,-42,-10,0,12,0,0,-100,-48,33,73,7,100,14,10,70,100,79,231640,44,84,68,0,21
-37,65,-27,0,100,20,0,-76,0,-36,77,1,73,62,-25,52,-80,0,10,6,10,37,-25,-41,-8,0,-33,4,1,44,0,-31,0,-31,29,-100,0,3,0,0,47,22,100,-100,10,60,-29,-100,82,100,23,231691,54,82,79,74,83
6,-33,67,2,-19,-75,0,-3,0,33,-50,22,44,90,97,65,50,0,-14,8,-57,0,-56,-7,-32,0,25,1,2,91,0,-22,0,10,84,-78,0,1,0,0,10,-77,99,84,18,-54,37,95,51,100,99,231969,100,48,96,12,88
37,-27,-69,12,90,-6,0,39,0,-52,22,-19,-97,76,-7,12,-16,0,-22,8,24,-84,-17,-20,1,0,5,12,20,-18,0,-46,0,50,-21,82,0,0,0,0,24,100,46,80,17,-29,-1,-100,71,100,44,232077,100,100,100,100,12
-31,50,-38,6,16,56,0,-34,0,-27,-5,-22,35,33,-80,-56,76,0,-27,4,-63,58,-58,-7,18,0,22,12,8,7,0,-39,0,90,-23,-86,0,8,0,0,-100,-82,100,31,0,18,-12,-88,79,100,45,233795,9,100,81,0,58
-22,20,-78,10,-2,-100,0,-3,0,20,-100,-69,-100,-44,61,-35,41,0,7,6,-42,90,-77,-8,67,0,-31,1,17,-58,0,-74,0,-3,7,-35,0,10,0,0,-8,-18,51,64,0,0,-12,-100,87,100,78,233839,77,94,65,0,28
72,-21,-96,10,68,-100,0,-66,0,-30,-6,0,100,49,-79,40,58,0,-3,2,-85,47,-11,-33,1,0,34,4,11,79,0,10,0,-63,-2,-11,0,7,0,0,30,28,24,90,8,17,-23,19,52,100,65,234724,19,100,44,0,1
-9,-20,29,10,95,-33,0,-22,0,-31,98,-60,27,80,78,27,-56,0,52,1,8,-14,27,-56,-52,0,-54,2,0,100,0,1,0,16,44,-84,0,0,0,0,100,46,100,100,13,100,-39,-3,64,100,47,236403,75,82,100,0,79
-5,78,-58,2,77,-100,0,-65,0,50,-69,-50,-14,39,22,-91,52,0,-100,6,43,1,14,-5,-67,0,-69,6,14,-10,0,-67,0,26,35,-61,0,9,0,0,-88,-100,100,-65,7,100,-6,35,82,100,32,236810,76,78,84,0,64
-70,22,-100,6,29,20,0,26,0,-31,-76,-85,-36,-68,37,9,17,0,-61,8,26,22,-64,-2,-13,0,-12,1,8,5,0,-51,0,-46,-36,-58,0,10,0,0,54,-72,-34,13,0,13,-6,-60,81,100,50,237288,74,84,52,23,78
-12,77,-8,10,47,-98,0,28,0,45,7,-44,-32,-44,-100,-4,13,0,100,1,-83,26,-50,-57,-29,0,17,6,1,73,0,19,0,100,51,94,0,0,0,0,-78,-100,11,94,1,-4,-36,-34,50,100,48,237291,100,87,86,0,80
-34,51,-44,24,71,41,0,-44,0,-73,-19,-81,0,-6,-13,-2,-10,0,-21,1,-38,54,-100,-58,9,0,-32,4,0,90,0,-52,0,30,-46,-72,0,11,0,0,0,-83,60,90,19,30,39,30,92,100,45,238461,100,47,81,0,73
-36,-19,24,1,37,18,0,-25,0,-20,-18,26,-95,18,-11,-76,100,0,-100,2,-65,-46,-29,-42,92,0,-12,13,0,80,0,60,0,-56,18,46,0,5,0,0,-64,62,-30,37,7,9,5,18,65,100,100,239093,100,67,16,0,41
58,-40,-46,10,37,65,0,20,0,16,-10,67,37,20,100,39,61,0,100,3,-58,-18,100,-33,-28,0,0,4,17,77,0,33,0,-100,14,71,0,4,0,0,-100,28,-29,73,6,22,16,5,83,100,73,240359,78,80,100,0,33
-21,-100,-9,10,45,38,0,-42,0,0,-100,11,-17,0,-30,-43,40,0,42,3,-100,81,-7,-62,0,0,23,4,2,100,0,-85,0,19,38,32,0,10,0,0,-100,6,13,89,7,100,46,-43,41,100,80,240702,99,32,100,0,100
-85,45,3,1,79,-100,0,29,0,-55,-33,-74,22,13,4,15,-81,0,28,6,-6,26,43,-91,-23,0,28,6,0,61,0,15,0,77,-3,-100,0,11,0,0,21,70,-98,96,8,100,-9,64,67,100,86,241410,88,79,100,0,100
-14,0,37,2,96,-80,0,2,0,-35,22,-100,-1,21,20,-75,-71,0,-88,6,43,60,-10,-100,41,0,18,1,15,100,0,27,0,-58,3,-100,0,5,0,0,-35,-76,71,62,19,100,43,-27,51,100,8,241532,44,25,30,0,6
-1,14,71,13,33,-11,0,-3,0,-63,-9,-39,1,74,67,-88,29,0,-100,5,-46,14,3,-56,-3,0,-1,8,3,100,0,-14,0,-69,3,-100,0,3,0,0,100,100,57,67,14,16,40,31,30,100,41,241707,77,78,88,56,42
-48,-12,-57,20,48,33,0,0,0,-10,-100,-37,100,-5,84,-16,-20,0,-57,4,-10,33,16,-14,63,0,15,11,0,-50,0,31,0,-29,18,26,0,6,0,0,-84,58,86,-1,6,100,-6,65,10,100,73,241930,14,40,5,66,48
31,5,-100,0,-72,5,0,0,0,-52,-71,-29,-61,44,30,54,-67,0,-12,2,-21,-3,-18,-29,7,0,20,4,3,-10,0,-16,0,100,9,-100,0,8,0,0,-100,-56,16,-100,10,67,-67,-80,83,100,58,243576,52,83,77,83,79
38,-21,-47,10,17,36,0,-66,0,-21,-57,-37,-28,100,-74,13,-15,0,-6,2,-100,20,34,-33,17,0,34,13,12,100,0,10,0,-100,17,23,0,12,0,0,54,89,100,100,15,-87,-47,0,35,100,72,243580,19,16,44,0,1
-20,-40,-78,2,-85,3,0,7,0,-29,-78,5,-23,31,-100,-74,-28,0,-44,3,18,54,7,-1,31,0,27,7,0,45,0,19,0,-100,31,90,0,10,0,0,-100,33,-50,-23,7,100,-1,-95,77,100,44,243993,63,69,12,55,70
-17,-68,29,2,85,100,0,-65,0,17,-58,24,-19,27,-11,-13,-15,0,100,3,32,24,-46,-5,100,0,51,9,2,-66,0,39,0,-19,26,-25,0,9,0,0,-90,12,94,38,7,100,-25,-7,83,100,96,244749,100,78,93,0,63
35,-67,-4,10,35,-29,0,-3,0,-7,8,61,29,21,100,42,-58,0,1,8,-54,-22,-20,-11,29,0,-10,13,9,61,0,-7,0,4,-12,38,0,1,0,0,6,-5,58,1,7,-14,-35,-80,51,100,65,245158,19,49,34,0,88
41,-5,14,8,63,-3,0,27,0,52,-25,9,-52,84,86,100,72,0,-7,1,-14,95,7,46,12,0,29,12,19,-13,0,46,0,-28,-21,-62,0,1,0,0,86,-7,91,100,11,-92,-80,100,100,100,100,245630,87,100,100,38,50
-52,-33,-20,20,84,-50,0,-33,0,-5,-37,-100,14,23,-60,31,-39,0,-16,2,-67,71,-76,-48,87,0,-58,10,8,26,0,-1,0,100,3,-100,0,8,0,0,-86,-18,73,100,19,74,12,33,80,100,0,245999,58,82,83,0,26
-49,16,-40,0,33,25,0,-90,0,11,-91,-44,0,50,23,21,-37,0,-50,8,-92,-16,7,-33,-55,0,30,6,0,61,0,24,0,-52,26,-11,0,9,0,0,-100,-100,92,-100,1,100,19,-84,45,100,81,247089,93,76,84,0,100
100,6,4,10,62,-52,0,61,0,-13,66,32,100,7,100,64,45,0,41,4,-64,-8,2,-66,43,0,0,12,20,58,0,-42,0,100,38,43,0,10,0,0,68,55,-40,19,4,100,-57,-100,41,100,49,247246,97,60,81,0,100
-13,-69,-74,3,77,-20,0,-35,0,-44,-23,-76,82,22,-46,-58,-16,0,75,2,-100,-1,-57,-29,-27,0,-82,4,0,-23,0,-67,0,-22,28,2,0,6,0,0,-46,-20,2,49,6,10,-12,-100,85,100,52,247257,66,72,52,0,85
-70,-87,26,21,36,-43,0,-6,0,17,-96,-15,32,47,19,-6,-62,0,24,3,-70,13,21,-23,77,0,-36,11,18,24,0,5,0,100,17,-81,0,1,0,0,-70,6,-8,100,7,100,0,84,41,100,60,247678,99,98,100,0,88
47,100,9,2,50,1,0,56,0,47,-57,-44,-84,16,17,1,86,0,-50,1,5,13,100,17,56,0,33,9,3,82,0,64,0,-100,-5,-20,0,8,0,0,100,48,-100,7,5,95,-72,-8,87,100,87,251353,87,74,82,81,90
-48,0,-74,0,66,45,0,-60,0,-47,-52,0,35,24,-67,52,89,0,6,4,-67,46,-19,9,-8,0,-100,3,3,-14,0,-98,0,0,1,-60,0,6,0,0,12,-12,45,-18,6,-95,82,85,34,100,52,251809,100,58,100,12,22
-92,-48,-100,10,8,27,0,-31,0,14,-92,1,52,-26,-63,-3,-90,0,-9,8,18,65,-100,-39,1,0,23,6,13,100,0,6,0,-22,40,-84,0,7,0,0,-86,-100,-52,-33,0,100,-33,-65,51,100,86,253396,56,79,73,0,100
-18,-69,7,10,90,-87,0,-42,0,-33,-1,1,-100,26,100,-50,45,0,-14,0,73,-29,-21,-46,58,0,48,9,5,-70,0,-29,0,100,-29,-52,0,3,0,0,31,-63,100,40,19,-100,-1,-100,90,100,27,254096,29,89,69,0,85
-54,-25,-40,16,90,48,0,-65,0,-6,-100,20,35,100,-10,-82,-29,0,-71,2,16,-31,-70,43,39,0,-93,11,15,63,0,31,0,88,17,22,0,7,0,0,-8,-84,22,58,1,100,16,7,56,100,41,254544,100,61,73,50,50
15,27,-31,1,93,-7,0,18,0,20,56,26,-100,-24,-40,-20,60,0,-44,1,-80,-12,-55,-31,-43,0,9,4,0,33,0,18,0,-6,-14,-86,0,4,0,0,-57,-74,29,93,10,97,-39,-100,15,100,71,255106,74,100,77,0,37
69,-20,35,25,34,31,0,-31,0,-58,-3,-52,90,62,87,-33,-46,0,20,2,-78,-99,-27,-54,30,0,84,4,8,20,0,26,0,-29,1,-10,0,10,0,0,-10,11,-22,3,19,36,-35,-63,100,100,65,255155,61,25,90,0,19
-36,23,-94,16,100,-100,0,-5,0,-44,49,-2,-15,47,-89,0,-84,0,21,0,-46,-100,-27,2,5,0,-28,3,5,100,0,65,0,79,-74,-66,0,7,0,0,-38,-46,-27,-100,20,100,9,-47,82,100,62,255565,100,100,100,100,100
-89,-1,67,8,-43,63,0,-13,0,-20,77,-26,42,95,-26,38,8,0,-35,2,-100,48,-16,-28,-35,0,-18,1,7,38,0,-16,0,46,57,-52,0,2,0,0,-39,97,93,57,13,23,6,74,32,100,69,257025,18,78,98,0,84
3,100,-22,16,86,-16,0,-88,0,-69,100,-100,100,-44,100,-100,26,0,-16,1,-100,3,3,-31,50,0,28,4,1,-82,0,46,0,-52,-57,-10,0,5,0,0,58,61,16,100,10,-3,-10,46,73,100,65,257289,44,100,100,70,37
-29,41,-85,10,13,-74,0,-14,0,15,-100,7,100,-55,-23,7,17,0,30,6,-27,-6,-36,-17,-19,0,58,1,17,90,0,30,0,-100,-14,-4,0,8,0,0,-23,-100,-31,29,7,71,-61,11,57,100,44,258271,51,86,31,0,15
-6,24,31,20,100,-44,0,-62,0,9,54,-79,-86,56,28,48,-35,0,-21,1,-57,28,-42,7,75,0,63,12,0,62,0,-1,0,-16,20,90,0,6,0,0,-100,-50,14,-44,6,-16,-12,-84,72,100,45,258485,96,78,56,0,82
4,89,-68,25,100,-100,0,27,0,-18,-47,-69,12,74,100,-75,25,0,-83,1,-10,80,-18,-9,72,0,-5,8,7,9,0,38,0,100,8,-100,0,11,0,0,-70,34,100,-100,6,-100,-9,-36,43,100,92,258730,66,57,78,79,83
-100,-37,-14,19,67,1,0,-99,0,-16,-78,-52,-8,90,-23,-76,26,0,-12,8,-31,58,-8,-5,54,0,-100,10,17,100,0,-50,0,-100,31,-84,0,7,0,0,-20,-46,54,3,7,49,29,58,81,100,83,258923,78,44,38,0,88
100,35,52,9,100,58,0,22,0,-14,-65,-12,22,56,28,-18,-20,0,-100,4,-14,-40,26,-1,56,0,24,12,17,-100,0,35,0,-8,37,67,0,4,0,0,-40,-82,16,-100,4,100,-23,81,44,100,69,259233,92,89,84,0,92
-100,-29,25,0,90,56,0,13,0,-25,-3,-57,67,45,-12,-19,-74,0,-20,2,-58,89,-10,-8,77,0,-58,7,17,-81,0,-83,0,40,-2,-100,0,6,0,0,17,-100,64,66,7,100,-34,45,77,100,34,259399,73,30,85,0,74
-52,-23,16,19,61,17,0,55,0,54,-25,-41,8,11,-36,58,-24,0,9,6,-69,58,33,9,63,0,-14,7,15,-91,0,-46,0,-48,5,41,0,6,0,0,13,-28,71,34,19,6,39,-16,31,100,35,259521,24,16,37,0,18
-71,58,25,22,72,21,0,-11,0,1,18,-77,27,61,-48,-41,16,0,18,1,-100,-48,6,23,-43,0,10,4,17,100,0,12,0,33,28,-100,0,7,0,0,-100,-82,27,-13,0,-75,-7,-24,82,100,28,260340,45,92,91,76,80
4,-35,-90,8,17,72,0,12,0,-56,-11,-92,78,0,-100,-11,58,0,-10,2,-71,85,-64,-40,-2,0,-24,12,7,42,0,16,0,100,-26,-82,0,6,0,0,-100,-100,23,-46,7,-62,-13,-58,51,100,24,260463,58,80,84,0,29
-82,0,73,2,0,94,0,-21,0,-1,62,-74,0,1,18,31,-63,0,35,3,41,54,-2,5,-8,0,-4,9,0,73,0,-19,0,-23,-10,47,0,1,0,0,-65,7,-86,100,7,100,-14,86,77,100,43,261204,52,69,67,0,70
12,41,-7,1,50,-16,0,-42,0,73,-54,7,-97,39,56,26,-8,0,-8,3,5,3,-38,35,-29,0,23,4,0,71,0,60,0,-48,32,52,0,11,0,0,29,5,13,37,7,100,-50,-100,71,100,47,261654,61,85,81,0,100
-16,-19,-55,19,28,52,0,11,0,31,-55,-23,-10,-38,-37,22,-21,0,50,4,-72,-42,-39,-35,58,0,-73,5,2,-18,0,6,0,-16,-69,-80,0,10,0,0,13,33,-71,-67,6,28,-38,43,100,100,33,264388,45,34,50,0,31
