firstnameid,lastnameid,playerjerseynameid,commonnameid,gkglovetypecode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,artificialkey,usercaneditname,avatarpomid,attackingworkrate,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,eyebrowcode,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,defensiveworkrate,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
17141,24282,17141,17141,0,0,0,0,90,0,97,0,0,0,90,0,16,81,-1,91,96,0,0,88,1,0,86,21,95,87,1,0,90,90,91,2026,92,90,84,0,0,1,91,93,140,1,0,-1,40,0,156402,25,0,91,63,84,0,0,41,1,0,262144,88,0,26551,1,59,1,94,91,4,0,11,0,0,2,0,89,92,93,84,0,0,0,0,1,9,1,0,0,160252,0,0,0,14,1,0,4,77,3,0,86,26551,0,1,0,3,0,89,8,0,87,503,3,0,0,2,0,0,21,0,90,0,93,1,0,-1,86,0,0,0
11152,32770,11152,11152,0,0,0,0,90,0,97,0,0,0,90,0,16,81,-1,91,96,0,0,88,1,0,86,2,95,87,1,0,90,90,91,2026,92,90,84,0,0,1,91,93,135,1,0,-1,40,0,156069,25,0,91,63,84,0,0,41,0,0,262144,88,0,26552,1,59,1,94,91,4,0,12,0,0,2,0,89,92,93,84,0,0,0,0,1,1,1,0,0,160252,0,0,0,14,1,0,4,77,4,0,86,26552,0,1,0,3,0,89,2,0,87,502,3,0,0,2,0,0,2,0,106,0,93,1,0,-1,86,0,0,0
12423,4982,4982,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,140,1,0,-1,1,0,156071,16,0,1,2,1,0,0,41,0,0,0,1,0,26553,1,1,1,1,1,1,0,13,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,160252,0,0,0,14,1,0,3,27,4,0,1,26553,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,107,0,1,1,0,-1,1,0,0,0
12423,4983,4983,0,1,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,15,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,140,1,0,-1,1,2,156069,0,0,1,1,1,0,0,41,0,0,0,1,0,26555,1,1,1,1,1,1,0,14,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,160252,0,0,0,14,1,0,3,27,2,0,1,26555,0,1,0,1,0,1,2,0,1,501,3,0,0,2,0,0,15,0,108,0,1,1,0,-1,1,0,0,0
11341,32429,12423,0,0,100,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,7000,1,1,170,0,0,-1,1,0,146600,16,0,1,2,1,0,0,64,1,0,0,1,1,26594,1,1,1,1,1,1,0,15,0,0,0,0,1,1,1,1,0,3,0,0,1,6,0,0,0,160097,0,0,0,14,1,0,3,27,3,0,1,26594,0,1,0,1,0,1,2,0,1,500,3,0,0,0,0,0,0,0,2,0,1,1,0,-1,1,0,0,0
18280,14717,14717,0,0,100,0,0,49,1,54,0,0,0,60,0,501,70,-1,68,66,0,0,55,1,0,70,0,52,70,1,0,68,79,48,2026,51,69,70,0,0,7000,69,70,180,3,0,-1,71,0,146600,5,0,72,72,62,0,1,80,1,0,0,62,1,26597,1,70,1,71,58,4,0,16,0,0,0,0,72,67,60,70,0,3,0,0,1,9,0,0,0,160161,0,0,0,14,2,0,3,75,2,0,73,26597,0,1,0,4,0,55,4,0,70,500,3,0,0,0,0,0,0,0,2,0,69,70,0,-1,42,0,0,0
11341,27205,12423,0,0,100,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,7000,1,1,169,0,0,-1,1,0,146600,16,0,1,2,1,0,0,65,1,0,0,1,1,26598,1,1,1,1,1,1,0,17,0,0,0,0,1,1,1,1,0,3,0,0,1,1,0,0,0,160097,0,0,0,14,1,0,3,27,2,0,1,26598,0,1,0,1,0,1,7,0,1,500,3,0,0,0,0,0,0,0,2,0,1,1,0,-1,1,0,0,0
11341,32429,12423,0,0,100,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,7000,1,1,171,0,0,-1,1,0,146600,16,0,1,2,1,0,0,62,1,0,0,1,1,26599,1,1,1,1,1,1,0,18,0,0,0,0,1,1,1,1,0,3,0,0,1,2,0,0,0,160097,0,0,0,14,1,0,3,27,3,0,1,26599,0,1,0,1,0,1,2,0,1,500,3,0,0,0,0,0,0,0,127,0,1,1,0,-1,1,0,0,0
29403,12969,29403,29403,0,0,0,0,70,0,84,0,0,0,80,0,16,48,-1,80,77,0,0,77,1,0,48,0,73,79,1,0,77,86,79,2026,80,80,46,0,0,1,81,80,175,0,0,-1,56,0,152416,18,0,79,62,74,262144,0,68,1,0,0,90,0,26600,1,55,1,80,69,4,0,19,0,0,2,0,60,80,77,68,0,0,0,0,1,1,0,0,0,158576,0,1,0,54,1,0,3,73,3,0,74,26600,0,1,0,4,0,78,6,0,79,500,3,0,0,2,0,0,0,0,98,0,80,65,0,-1,80,0,0,0
21132,3414,21132,21132,0,0,0,0,90,0,97,0,0,0,90,0,16,81,-1,91,96,0,0,88,1,0,86,0,95,87,1,0,90,90,91,2026,92,90,84,0,0,1,91,93,139,1,0,-1,40,0,156071,25,0,91,63,84,0,0,50,0,0,262144,88,0,26601,1,59,1,94,91,4,0,20,0,0,2,0,89,92,93,84,0,0,0,0,1,1,1,0,0,160252,0,1,0,54,1,0,4,77,4,0,86,26601,0,1,0,3,0,89,2,0,87,500,3,0,0,2,0,0,0,0,109,0,93,1,0,-1,86,0,0,0
5110,18445,18444,18444,0,0,0,0,90,0,97,0,0,0,90,0,16,81,-1,91,96,0,0,88,1,0,86,0,95,88,1,0,90,90,91,2026,92,90,84,0,0,1,91,93,134,1,0,-1,54,0,156069,25,0,91,70,86,0,0,51,0,0,262144,88,0,26602,1,59,1,94,91,4,0,21,0,0,2,0,89,92,93,84,0,0,0,0,1,1,1,0,0,160252,0,1,0,54,1,0,4,83,4,0,86,26602,0,1,0,3,0,90,2,0,88,500,3,0,0,2,0,0,0,0,378,0,93,1,0,-1,86,0,0,0
38250,38340,38340,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,132,1,0,-1,1,0,156341,16,0,1,2,1,0,0,55,0,0,0,1,0,26621,1,1,1,1,1,1,0,22,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,160252,0,0,0,14,1,0,3,27,3,0,1,26621,0,1,0,1,0,1,5,0,1,500,3,0,0,2,0,0,0,0,99,0,1,1,0,-1,1,0,0,0
3729,35868,3715,3715,0,100,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,5500,1,1,169,0,0,-1,1,0,146600,16,0,1,2,1,0,0,65,0,0,0,1,1,26626,1,1,1,1,1,1,0,23,0,0,0,0,1,1,1,1,0,3,0,0,1,3,0,0,0,159640,0,0,0,14,1,0,3,27,3,0,1,26626,0,1,0,1,0,1,4,0,1,500,3,0,0,0,0,0,0,0,121,0,1,1,0,-1,1,0,0,0
11341,27205,12423,0,0,100,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,7000,1,1,171,0,0,-1,1,0,146600,16,0,1,2,1,0,0,60,0,0,0,1,1,26635,1,1,1,1,1,1,0,24,0,0,0,0,1,1,1,1,0,3,0,0,1,2,0,0,0,159640,0,0,0,14,1,0,3,27,2,0,1,26635,0,1,0,1,0,1,2,0,1,500,3,0,0,0,0,0,0,0,97,0,1,1,0,-1,1,0,0,0
11341,27205,12423,0,0,100,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,7000,1,1,170,0,0,-1,1,0,146600,16,0,1,2,1,0,0,64,0,0,0,1,1,26636,1,1,1,1,1,1,0,25,0,0,0,0,1,1,1,1,0,3,0,0,1,6,0,0,0,159640,0,0,0,14,1,0,3,27,2,0,1,26636,0,1,0,1,0,1,2,0,1,500,3,0,0,0,0,0,0,0,97,0,1,1,0,-1,1,0,0,0
21609,31334,31334,0,0,100,0,0,68,1,71,0,0,0,69,0,501,63,-1,66,88,0,0,72,13,0,59,0,69,70,13,0,66,71,66,2026,71,70,62,0,0,7000,70,70,184,3,0,-1,70,0,146600,25,0,71,70,70,0,1,78,0,0,0,66,1,26638,15,60,1,71,72,3,0,26,0,0,2,0,70,70,69,70,0,3,0,0,14,2,0,0,0,160161,0,0,0,18,1,0,3,74,4,0,70,26638,0,14,0,3,0,72,2,0,70,500,4,0,0,0,0,0,0,0,97,0,70,55,0,-1,69,0,0,0
337,5426,5426,0,0,100,0,0,56,0,72,0,0,0,65,0,501,56,-1,75,73,0,0,70,1,0,63,0,60,70,1,0,64,70,69,2026,76,78,46,0,0,7000,75,68,180,3,0,-1,78,0,146600,14,0,75,72,75,0,1,75,1,0,0,67,1,26639,1,59,1,68,60,3,0,27,0,0,0,0,49,73,67,66,0,3,0,0,1,9,0,0,0,160161,0,0,0,14,1,0,3,80,4,0,75,26639,0,1,0,3,0,73,8,0,70,500,3,0,0,0,0,0,0,0,97,0,70,62,0,-1,58,0,0,0
11170,12423,12423,0,0,100,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,5500,1,1,170,0,0,-1,1,0,146600,16,0,1,2,1,0,0,60,0,0,0,1,1,26640,1,1,1,1,1,1,0,28,0,0,0,0,1,1,1,1,0,3,0,0,1,3,0,0,0,159640,0,0,0,14,1,0,3,27,2,0,1,26640,0,1,0,1,0,1,2,0,1,500,3,0,0,0,0,0,0,0,97,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26641,1,1,1,1,1,1,0,29,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,159640,0,0,0,14,1,0,3,27,2,0,1,26641,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26642,1,1,1,1,1,1,0,30,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,159640,0,0,0,14,1,0,3,27,3,0,1,26642,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26643,1,1,1,1,1,1,0,31,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,159640,0,0,0,14,1,0,3,27,3,0,1,26643,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,184,0,0,-1,1,0,146600,16,0,1,2,1,0,0,82,1,0,0,1,0,26644,1,1,1,1,1,1,0,32,0,0,0,0,1,1,1,1,0,0,0,0,1,3,0,0,0,159640,0,0,0,14,1,0,3,27,4,0,1,26644,0,1,0,1,0,1,7,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26645,1,1,1,1,1,1,0,33,0,0,0,0,1,1,1,1,0,0,0,0,1,8,0,0,0,159640,0,0,0,14,1,0,3,27,4,0,1,26645,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26646,1,1,1,1,1,1,0,34,0,0,0,0,1,1,1,1,0,0,0,0,1,3,0,0,0,159640,0,0,0,14,1,0,3,27,2,0,1,26646,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26647,1,1,1,1,1,1,0,35,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,159640,0,0,0,14,1,0,3,27,3,0,1,26647,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26648,1,1,1,1,1,1,0,36,0,0,0,0,1,1,1,1,0,0,0,0,1,9,0,0,0,159640,0,0,0,14,1,0,3,27,3,0,1,26648,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26650,1,1,1,1,1,1,0,37,0,0,0,0,1,1,1,1,0,0,0,0,1,5,0,0,0,159640,0,0,0,14,1,0,3,27,4,0,1,26650,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
22024,12423,12423,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,0,0,0,1,0,26651,1,1,1,1,1,1,0,38,0,0,0,0,1,1,1,1,0,0,0,0,1,3,0,0,0,159640,0,0,0,14,1,0,3,27,2,0,1,26651,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
35032,6575,6575,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,180,0,0,-1,1,0,146600,16,0,1,2,1,0,0,75,1,0,0,1,0,26669,1,1,1,1,1,1,0,39,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,159640,0,0,0,14,1,0,3,27,3,0,1,26669,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
34198,14388,14388,0,0,0,0,0,96,0,95,0,0,0,96,0,16,75,-1,88,93,0,0,93,1,0,76,0,90,97,1,0,95,93,91,2026,97,95,72,0,0,1,95,97,188,0,0,-1,91,0,144213,25,0,96,90,94,0,0,83,0,0,0,83,0,26670,1,76,5,93,93,4,0,40,0,0,0,0,82,97,91,92,0,0,0,0,1,1,0,0,0,159613,0,0,0,18,1,0,4,95,3,0,94,26670,0,1,0,4,0,95,7,0,97,500,3,0,0,2,0,0,0,0,119,0,97,73,0,-1,95,0,0,0
4981,12424,12424,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,135,1,0,-1,1,0,156069,16,0,1,2,1,0,0,45,0,0,0,1,0,26688,1,1,1,1,1,1,0,41,0,0,0,0,1,1,1,1,0,0,0,0,1,2,1,0,0,160252,0,0,0,14,1,0,3,27,2,0,1,26688,0,1,0,1,0,1,1,0,1,500,3,0,0,2,0,0,0,0,100,0,1,1,0,-1,1,0,0,0
4981,12425,12425,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,133,1,0,-1,1,0,156069,16,0,1,2,1,0,0,45,0,0,0,1,0,26689,1,1,1,1,1,1,0,42,0,0,0,0,1,1,1,1,0,0,0,0,1,9,1,0,0,160252,0,0,0,14,1,0,3,27,2,0,1,26689,0,1,0,1,0,1,4,0,1,500,3,0,0,2,0,0,0,0,103,0,1,1,0,-1,1,0,0,0
5293,13866,13866,0,0,0,0,0,80,0,81,0,0,0,81,0,16,92,-1,91,90,0,0,84,1,0,89,15,73,91,1,0,88,87,85,2026,82,90,90,0,0,1,87,89,135,1,0,-1,93,0,156311,5,0,86,91,91,0,0,70,0,0,0,69,0,26690,1,91,1,89,82,4,0,43,0,0,2,0,92,86,85,86,0,0,0,0,1,9,1,0,0,160252,0,2,0,163,1,0,4,95,3,0,85,26690,0,1,0,4,0,84,9,0,91,500,3,0,0,2,0,0,0,0,90,0,88,94,0,-1,75,0,0,0
26700,11551,11551,0,0,0,0,0,71,0,84,0,0,0,74,0,16,49,-1,81,69,0,0,80,1,0,55,25,75,80,1,0,80,82,81,2026,75,84,48,0,0,1,84,77,135,1,0,-1,73,2,156402,23,0,85,71,77,0,0,65,0,0,0,91,0,26691,1,46,1,82,84,4,0,44,0,0,2,0,61,84,80,45,0,0,0,0,1,9,1,0,0,160252,0,2,0,54,1,0,4,72,3,0,75,26691,0,1,0,4,0,76,5,0,80,502,3,0,0,2,0,0,25,0,104,0,80,35,0,-1,76,0,0,0
12724,12424,12424,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,134,1,0,-1,1,0,156402,16,0,1,2,1,0,0,64,0,0,0,1,0,26692,1,1,1,1,1,1,0,45,0,0,0,0,1,1,1,1,0,0,0,0,1,9,1,0,0,160252,0,0,0,14,1,0,3,27,4,0,1,26692,0,1,0,1,0,1,5,0,1,500,3,0,0,2,0,0,0,0,102,0,1,1,0,-1,1,0,0,0
