firstname,commonname,surname,skintypecode,haircolorcode,facialhairtypecode,managerid,hairtypecode,headtypecode,height,seasonaloutfitid,weight,hashighqualityhead,gender,headassetid,ethnicity,faceposerpreset,teamid,eyebrowcode,eyecolorcode,personalityid,headclasscode,nationality,sideburnscode,headvariation,skintonecode,outfitid,hairstylecode,bodytypecode,managerjointeamdate,facialhaircolorcode
,,,2,0,4,263428,0,3509,180,5511,75,0,0,26544,2,0,95,0,9,0,0,27,0,0,2,5510,0,82,160952,23
,,,2,9,6,51403,636,2020,180,5511,78,0,0,26540,2,3,97,0,1,0,0,14,0,0,2,5504,0,82,161202,0
,,,0,0,0,72059,16,1,182,5511,75,0,0,26541,2,3,106,0,6,0,0,14,0,0,2,5506,0,82,161200,0
,,,2,0,8,257433,221,25,188,5527,75,0,0,26543,2,0,109,0,7,1,0,45,0,0,2,5520,0,85,160718,0
Gary,,O'Neil,2,8,4,271713,243,1507,173,5557,75,1,0,53593,2,1,110,0,8,0,0,14,0,0,4,5510,0,88,161006,23
,,,0,0,0,268328,16,1,180,5511,75,0,0,26537,2,0,111,0,1,0,0,70,0,0,2,5570,0,83,158960,0
,,,0,0,0,268329,16,1,180,5529,75,0,0,26537,2,0,112,0,1,0,0,95,0,0,2,5502,0,83,158960,0
,,,51,0,0,272649,693,2009,178,5511,75,0,0,26541,1,3,121,0,6,0,0,14,0,0,1,5510,0,81,160728,0
,,,51,23,6,53895,655,12,164,5511,59,0,0,26537,2,0,127,0,1,0,0,14,0,0,2,5713,0,88,161174,23
,,,2,8,14,249499,289,3500,178,5511,75,0,0,26539,2,0,142,0,1,0,0,35,0,0,2,5707,0,82,160917,1
,,,2,6,6,45098,115,33,185,5511,74,0,0,26540,2,3,143,2,1,1,0,42,0,0,2,5520,0,86,160717,6
Marco Alexandre,Marco Silva,Saraiva da Silva,2,3,6,178609,177,30,180,5557,75,1,0,178609,3,0,144,1,4,0,0,38,0,0,3,5567,0,82,160237,3
,,,2,5,3,279147,154,3500,175,5511,75,0,0,26543,2,0,149,1,7,0,0,14,0,0,2,5510,0,82,161102,20
Michél,,Kniat,2,3,8,267907,642,1508,191,5506,75,0,0,267907,2,0,159,2,3,1,1,21,0,0,2,5569,0,85,160949,3
,,,2,6,4,271758,646,4021,189,5506,75,0,0,26541,2,3,160,0,6,0,0,21,0,0,2,5506,0,85,160675,6
,,,51,8,6,248943,655,1510,182,5553,75,0,0,26540,2,3,165,1,1,1,0,21,0,0,2,5567,0,83,160717,19
,,,2,3,6,3492,243,3505,179,5557,83,0,0,26540,2,3,166,2,1,0,0,23,0,0,2,5520,0,82,160891,23
,,,2,5,50,140433,84,2,178,5527,75,0,0,26541,2,3,169,2,6,1,0,13,0,0,2,5718,0,82,161194,23
,,,2,23,8,249161,155,30,182,5511,75,0,0,26541,2,3,171,1,6,1,0,21,0,0,2,5506,0,83,160938,9
Marc,,Unterberger,0,20,4,276133,660,17,180,5511,75,0,0,276133,2,0,172,2,3,0,1,21,0,0,2,5708,0,82,160962,20
,,,2,5,8,150527,176,4005,191,5537,92,0,0,26541,2,3,175,6,6,1,0,4,0,0,2,5578,0,85,159298,5
Tony,,Docherty,2,9,6,276364,660,2006,173,5510,75,0,0,276364,2,0,180,0,2,0,1,42,0,0,2,5566,0,89,160934,8
Thiago,,Motta,2,3,0,254126,61,1526,187,5558,75,1,0,254126,4,3,189,0,3,0,0,27,0,0,3,5717,0,2,160675,0
Onur,,Cinel,2,0,14,72016,0,4021,175,5527,75,0,0,72016,3,0,191,0,9,0,1,21,0,0,3,5522,0,82,161256,0
Paolo,,Vanoli,51,6,50,266077,9,57,184,5558,75,0,0,266077,2,0,205,1,3,1,1,27,0,0,2,5713,0,82,160731,23
Marco,,Baroni,51,8,12,249993,641,3509,185,5532,75,0,0,249993,3,0,206,1,9,0,1,27,0,0,3,5566,0,85,160967,8
Christian,,Ilzer,2,0,4,249125,0,7,183,5557,75,0,0,249125,1,0,209,0,6,1,1,4,0,0,1,5566,0,82,159888,23
,,,2,3,8,279476,164,55,180,5555,75,0,0,26540,2,3,210,1,1,0,0,18,0,0,2,5707,0,82,161119,0
Sergej,,Jakirović,2,3,0,277879,16,2510,191,5509,75,0,0,277879,2,0,211,2,3,1,1,8,0,0,2,5507,0,85,161018,3
,,,2,9,0,270696,181,2511,180,5509,75,0,0,26538,2,0,217,0,2,0,0,18,0,0,2,5566,0,82,160598,6
,,,51,22,0,249652,0,2506,176,5511,75,0,0,26537,2,0,219,1,1,0,0,18,0,0,2,5552,0,83,161201,0
Brian,,Riemer,51,9,6,272666,0,3516,175,5511,75,0,0,272666,2,0,229,0,1,0,1,13,0,0,2,5510,0,82,160756,9
Mark,,van Bommel,51,9,4,19765,22,2002,187,5509,86,0,0,19765,2,0,230,2,3,0,1,34,0,0,2,5508,0,85,160602,23
Nicky,,Hayen,2,23,0,254486,192,2020,188,5506,75,0,0,254486,2,0,231,6,1,0,1,7,0,0,2,5506,0,85,161228,1
Ivan,,Leko,2,6,8,6016,167,2016,179,5555,79,0,0,6016,2,0,232,0,4,0,1,10,0,0,2,5551,0,82,161154,23
Roger,,Schmidt,51,6,0,250418,655,4018,188,5509,75,0,0,250418,3,0,234,6,4,0,1,21,0,0,3,5566,0,84,160602,6
Sérgio Paulo,Sérgio Conceição,Conceição,51,23,8,250492,65,4024,176,5555,75,1,0,7854,5,3,236,1,3,1,0,38,0,0,4,5504,0,82,158776,23
Rúben Filipe,Rúben Amorim,Marques Amorim,2,0,8,254801,220,1533,180,5557,75,0,0,254801,4,0,237,1,3,0,1,38,0,0,4,5522,0,82,159754,0
Diego,,Simeone,51,22,4,5571,196,1517,177,5509,77,1,0,5571,4,0,240,1,6,1,0,52,0,0,4,5500,0,81,156759,23
Xavier,Xavi,Hernández Creus,2,0,50,265436,221,42,170,5509,75,0,0,10535,3,0,241,1,9,0,0,45,0,0,3,5718,0,88,160365,23
Carlo,,Ancelotti,51,24,0,237388,114,59,179,5529,75,1,0,237388,4,0,243,1,1,0,0,27,0,0,4,5502,0,82,160237,0
Víctor,Víctor Fernández,Fernández Braulio,51,23,0,250653,46,1519,173,5513,75,0,0,250653,4,0,244,2,9,0,1,45,0,0,4,5534,0,88,161221,23
,,,2,23,4,249704,117,1506,182,5511,75,0,0,26540,2,3,245,6,1,0,0,34,0,0,2,5505,0,82,161088,8
,,,2,0,6,250808,0,48,184,5509,75,0,0,26538,2,0,246,2,2,0,0,34,0,0,2,5725,0,82,160237,3
,,,2,0,6,250295,0,2006,175,5527,75,0,0,26544,2,0,247,2,9,0,0,34,0,0,2,5566,0,82,160967,0
Thomas,,Darazs,51,0,6,72004,37,1526,180,5511,75,0,0,72004,2,0,252,0,9,0,1,4,0,0,2,5520,0,83,161251,21
Robert,,Klauß,0,5,6,257577,141,2021,183,5509,75,0,0,257577,2,0,254,0,1,0,1,21,0,0,2,5566,0,82,161109,22
Christian,,Wegleitner,2,5,0,72289,289,2,175,5527,75,0,0,72289,2,0,256,0,1,0,1,4,0,0,2,5522,0,82,161284,6
Asier,Asier Garitano,Garitano,51,0,6,249029,291,4013,169,5509,75,0,0,249029,1,0,260,0,4,0,1,45,0,0,1,5566,0,88,160967,0
Jure,,Ivanković,2,3,45,72090,16,3512,180,5509,75,0,0,72090,2,0,263,0,3,0,1,8,0,0,2,5722,0,81,161249,3
Jindřich,,Trpišovský,51,0,28,249675,290,57,180,5527,75,0,0,249675,2,0,266,1,1,0,1,12,0,0,2,5566,0,82,159140,23
Brian,,Priske,2,23,6,252928,161,2508,188,5557,75,0,0,252928,2,0,267,0,1,1,1,13,0,0,2,5714,0,85,160602,23
Jesper,,Sørensen,51,9,4,249664,0,4010,177,5557,75,0,0,249664,2,0,269,1,1,0,1,13,0,0,2,5715,0,81,160787,9
Kent,,Nielsen,51,9,6,249849,154,4008,192,5511,75,0,0,249849,1,0,270,1,1,1,1,13,0,0,1,5520,0,86,159506,6
Uwe,,Rösler,51,23,8,250629,0,57,184,5509,75,0,0,250629,3,0,271,0,6,1,1,21,0,0,3,5520,0,82,160585,24
Søren,,Krogh,51,3,6,279009,218,2008,182,5511,75,0,0,279009,2,0,272,0,1,0,1,13,0,0,2,5728,0,82,161091,22
Matías,,Almeyda,51,3,0,4784,10,1526,174,5529,72,0,0,4784,3,0,278,0,4,1,1,52,0,0,3,5523,0,88,160602,3
,,,51,8,45,249211,39,525,177,5555,75,0,0,26540,3,3,294,0,1,0,0,18,0,0,3,5523,0,83,161125,8
Alfred,,Johansson,0,6,4,279614,181,4013,182,5511,75,0,0,279614,1,0,298,2,1,0,1,46,0,0,1,5520,0,81,161133,20
Andreas,,Georgson,2,5,8,271220,37,30,186,5548,75,0,0,271220,1,0,299,0,1,0,1,46,0,0,1,5525,0,84,161140,5
Bjarte Lunde,,Aarsheim,2,9,4,249057,151,2019,177,5511,75,0,0,249057,1,0,300,0,3,0,1,36,0,0,1,5510,0,81,160056,9
Daniel,,Myśliwiec,2,2,4,278078,54,1519,180,5511,75,0,0,278078,2,0,301,0,1,0,1,37,0,0,2,5554,0,82,161033,2
Alan,,Reynolds,51,9,6,149774,297,1510,177,5511,82,0,0,149774,2,0,305,0,1,0,1,25,0,0,2,5510,0,83,161236,22
Stephen,,Bradley,2,3,8,169187,64,1520,170,5511,63,0,0,169187,2,0,306,1,2,1,1,25,0,0,2,5510,0,88,158549,23
Constantin,,Gâlcă,51,3,6,249154,160,4006,178,5511,75,0,0,249154,3,0,308,0,9,0,1,39,0,0,3,5507,0,81,161258,0
Bogdan,,Lobonț,51,5,6,72183,297,1520,184,5509,75,0,0,72183,2,0,310,0,6,0,1,39,0,0,2,5718,0,81,161257,19
Stefan,,Billborn,51,1,0,250518,175,4004,177,5511,75,0,0,250518,1,0,319,0,3,1,1,46,0,0,1,5710,0,82,161327,1
Henrik,,Rydström,2,5,4,47178,0,30,177,5560,72,0,0,47178,2,0,320,1,1,1,1,46,0,0,2,5718,0,82,160755,6
Magnus,,Haglund,51,2,8,249962,290,30,185,5548,75,0,0,249962,1,0,321,0,2,0,1,46,0,0,1,5718,0,85,159451,1
Marco,,Schällibaum,51,8,6,275802,642,3518,181,5527,75,0,0,275802,3,0,322,0,3,0,1,47,0,0,3,5566,0,83,161251,8
René,,Weiler,51,3,6,250367,179,42,180,5547,75,0,0,250367,2,0,324,1,6,0,1,47,0,0,2,5718,0,82,160967,3
Okan,,Buruk,51,0,4,250192,122,2517,170,5530,75,0,0,250192,3,0,325,0,9,0,1,48,0,0,3,5500,0,88,160593,0
Ismail,,Kartal,51,8,0,249609,47,2,176,5511,75,0,0,249609,4,0,326,1,3,0,1,48,0,0,4,5525,0,82,160967,0
Serdar,,Topraktepe,2,6,5,71982,164,2004,183,5552,75,0,0,71982,2,0,327,0,9,0,1,48,0,0,2,5552,0,82,161254,12
Luca,,Gotti,51,9,4,254661,14,1526,188,5509,75,0,0,254661,3,0,347,0,6,0,1,27,0,0,3,5507,0,85,161223,9
,,,2,3,0,70347,284,1547,183,5511,75,0,0,26543,2,0,357,0,7,0,0,14,0,0,2,5707,0,82,161112,0
,,,2,23,0,255945,160,4020,191,5511,75,0,0,26540,2,3,361,0,1,0,0,14,0,0,2,5510,0,85,161280,5
,,,51,24,4,272892,72,1533,188,5509,75,0,0,26537,2,0,378,1,1,0,0,18,0,0,2,5506,0,84,160788,24
,,,0,0,0,63004,16,1,180,5500,75,0,0,26537,2,0,379,0,1,1,0,14,0,0,2,5500,0,86,158960,0
,,,2,4,6,250293,284,27,180,5509,75,0,0,26539,1,0,381,0,1,0,0,14,0,0,1,5510,0,82,160567,1
,,,0,0,0,63025,16,1,180,5500,75,0,0,26537,2,0,383,0,1,1,0,14,0,0,2,5500,0,86,158960,0
Răzvan,,Lucescu,51,23,6,250354,141,25,179,5529,75,0,0,250354,4,0,393,0,6,1,1,39,0,0,4,5718,0,82,160237,0
Erling,,Moe,51,9,6,249331,234,2000,180,5511,75,0,0,249331,2,0,417,6,1,0,1,36,0,0,2,5506,0,82,159443,0
Jørgen,,Vik,0,6,16,279923,297,4013,176,5509,75,0,0,279923,2,0,418,2,1,0,1,36,0,0,2,5707,0,82,161158,6
Jan,,Urban,51,9,0,249636,75,11,179,5511,75,0,0,249636,2,0,420,1,1,0,1,37,0,0,2,5523,0,83,160862,0
Liam,,Buckley,51,5,0,249915,8,3500,173,5511,75,0,0,249915,2,0,422,0,1,0,1,25,0,0,2,5510,0,89,160908,1
Stephen,,Kenny,51,8,0,250535,291,2512,175,5546,75,0,0,250535,1,0,423,0,8,0,1,25,0,0,1,5713,0,81,161287,5
Henok,,Goitom,2,0,4,271516,206,1009,189,5520,75,0,0,271516,5,0,433,0,3,0,1,113,0,0,5,5566,0,84,161319,0
Abdullah,,Avcı,51,23,6,248886,297,3518,178,5509,75,0,0,248886,3,0,436,1,3,1,1,48,0,0,3,5507,0,82,161070,0
Ruaidhrí,,Higgins,2,23,6,262052,160,34,178,5510,75,0,0,262052,2,0,445,0,1,0,1,35,0,0,2,5510,0,82,160168,23
Ernesto,Ernesto Valverde,Valverde Tejedor,51,23,0,249332,230,2000,169,5529,75,0,0,249332,4,0,448,1,9,0,0,45,0,0,4,5713,0,87,160601,23
Manuel,,Pellegrini,51,9,6,168384,229,1501,184,5580,80,0,0,168384,4,0,449,0,2,0,1,55,0,0,4,5534,0,82,159903,9
Claudio,Claudio Giráldez,Giráldez González,0,0,14,71542,0,42,185,5509,75,0,0,71542,1,0,450,0,9,0,1,45,0,0,1,5566,0,85,161222,0
José Manuel,Manolo González,González Álvarez,2,9,14,71533,0,3516,176,5509,75,0,0,71533,1,0,452,0,9,0,1,45,0,0,1,5713,0,82,161222,22
Javier,,Aguirre,51,8,0,192945,175,46,173,5511,75,0,0,192945,2,0,453,0,3,1,0,83,0,0,4,5505,0,88,160503,9
José Alberto,José Alberto,López Menéndez,51,23,14,249745,0,1521,175,5558,75,0,0,249745,3,0,456,2,3,0,1,45,0,0,3,5507,0,83,160767,23
Imanol,Imanol Alguacil,Alguacil,51,9,0,249601,138,25,187,5555,75,1,0,249601,4,0,457,2,7,0,0,45,0,0,4,5534,0,84,159320,23
Miguel Ángel,Ramírez,Ramírez Medina,2,0,50,254086,0,4020,175,5531,75,0,0,254086,2,0,459,2,5,0,1,45,0,0,2,5707,0,82,160802,0
Rubén,Rubén Baraja,Baraja Vegas,51,22,4,141317,648,12,180,5547,75,0,0,141317,4,0,461,0,3,0,1,45,0,0,4,5507,0,82,160830,22
Paulo,,Pezzolano,2,9,4,253719,186,525,185,5505,75,0,0,253719,2,0,462,0,2,1,1,60,0,0,2,5568,0,85,160879,23
Luis,Luis García,García Plaza,51,0,6,249939,636,22,180,5557,75,0,0,249939,2,0,463,0,3,1,1,45,0,0,2,5567,0,81,160566,0
Joseba,Etxeberria,Etxeberria Lizardi,2,3,0,8340,655,41,178,5555,74,0,0,8340,3,0,467,2,3,1,1,45,0,0,3,5522,0,81,160950,3
Sebastián,,Beccacece,2,4,45,250470,12,1534,182,5511,75,0,0,250470,3,0,468,0,9,1,1,52,0,0,3,5566,0,81,160865,5
Francesc Xavier,García Pimienta,García Pimienta,2,23,8,249393,160,4005,170,5557,75,0,0,249393,4,0,472,0,3,0,1,45,0,0,4,5526,0,88,160444,23
Jagoba,Jagoba Arrasate,Arrasate Elustondo,51,19,45,172720,150,3513,169,5552,72,0,0,172720,2,0,479,0,4,0,0,45,0,0,2,5566,0,88,159141,6
Iñigo,Iñigo Pérez,Pérez Soto,2,6,0,71048,93,2004,178,5511,75,0,0,71048,2,0,480,0,5,0,1,45,0,0,2,5707,0,81,161195,0
Enrique,Quique Flores,Sánchez Flores,51,3,8,232307,644,43,176,5529,75,0,0,232307,4,0,481,0,5,0,0,45,0,0,4,5514,0,81,161137,23
Marcelino,Marcelino,García Toral,51,3,6,241611,78,58,170,5505,73,1,0,241611,3,0,483,0,4,1,0,45,0,0,3,5523,0,87,161103,3
,,,2,3,4,102133,189,2,178,5520,72,0,0,26540,2,3,485,0,1,0,0,21,0,0,2,5569,0,82,160602,8
,,,51,6,0,250627,167,2007,178,5527,75,0,0,26539,3,0,487,6,1,1,0,21,0,0,3,5566,0,83,161116,1
José Albano,José Mota,Ferreira da Mota,51,0,15,249744,0,3510,175,5511,75,0,0,249744,5,0,489,0,9,1,1,38,0,0,5,5713,0,82,160822,27
,,,51,23,0,250028,114,1520,170,5511,75,0,0,26540,2,3,492,0,1,1,0,21,0,0,2,5506,0,89,160367,6
Heiko,,Scholz,2,24,3,254526,32,32,180,5533,75,0,0,254526,3,0,503,0,3,0,1,21,0,0,3,5568,0,83,161261,8
Pavel,,Dotchev,51,24,3,250269,167,2515,176,5558,75,0,0,250269,1,0,506,1,4,0,1,9,0,0,1,5707,0,83,160511,8
,,,0,0,0,63006,16,1,180,5500,75,0,0,26537,2,0,517,0,1,1,0,14,0,0,2,5500,0,86,158960,0
João Miguel,Moreno,da Cunha Teixeira,2,23,4,262201,129,2502,188,5552,75,0,0,262201,6,0,518,6,3,1,1,38,0,0,6,5522,0,85,160613,22
Rüdiger,,Ziehl,51,8,0,262855,289,1550,184,5521,75,0,0,262855,3,0,523,2,6,0,1,21,0,0,3,5708,0,82,160237,2
Christoph,,Dabrowski,2,23,6,12070,17,2017,195,5506,82,0,0,12070,3,0,526,0,6,0,1,21,0,0,3,5707,0,85,160602,22
Sascha,,Hildmann,51,23,4,250463,321,2030,184,5511,75,0,0,250463,2,0,531,2,3,0,1,21,0,0,2,5707,0,82,159685,23
Joe,,Enochs,51,9,50,105015,290,1506,183,5556,75,0,0,105015,3,0,543,2,10,0,1,95,0,0,3,5566,0,82,160915,9
,,,51,8,6,250540,141,57,185,5511,75,0,0,26543,2,0,561,0,7,1,0,14,0,0,2,5520,0,85,161175,8
John,,Russell,2,20,4,269585,77,17,173,5527,75,0,0,269585,1,0,563,1,9,0,1,25,0,0,1,5510,0,87,160573,19
,,,0,0,0,63009,16,1,180,5500,75,0,0,26537,2,0,567,0,1,1,0,14,0,0,2,5500,0,86,158960,0
,,,0,0,0,63007,16,1,180,5500,75,0,0,26537,2,0,568,0,1,1,0,14,0,0,2,5500,0,86,158960,0
Roberto,,Breda,51,6,4,159267,150,3516,175,5527,73,0,0,159267,2,0,570,0,1,0,1,27,0,0,2,5520,0,82,161095,19
,,,2,3,0,264727,186,1502,178,5511,75,0,0,26540,3,3,576,1,1,0,0,21,0,0,3,5566,0,82,160332,0
,,,51,8,0,249571,558,43,182,5527,75,0,0,26542,3,0,580,0,3,1,0,21,0,0,3,5728,0,82,159261,5
,,,0,0,0,63011,16,1,180,5500,75,0,0,26537,2,0,598,0,1,1,0,14,0,0,2,5500,0,86,158960,0
