firstname,commonname,surname,skintypecode,haircolorcode,facialhairtypecode,managerid,hairtypecode,headtypecode,height,seasonaloutfitid,weight,hashighqualityhead,gender,headassetid,ethnicity,faceposerpreset,teamid,eyebrowcode,eyecolorcode,personalityid,headclasscode,nationality,sideburnscode,headvariation,skintonecode,outfitid,hairstylecode,bodytypecode,managerjointeamdate,facialhaircolorcode
Vitislav,,Wolyniec,51,5,6,272590,289,4006,186,5580,75,0,0,26539,2,0,0,0,1,1,0,37,0,0,2,5580,0,84,160739,5
Xavien,,Massaswabi,1,0,8,272591,201,1000,168,5559,75,0,0,26545,9,2,0,6,9,1,0,116,0,0,9,5504,0,89,160739,0
Marijo,,Leksivić,0,3,18,272592,77,4006,187,5504,75,0,0,26541,2,3,0,0,6,0,0,44,0,0,2,5504,0,85,160739,3
Mohamed,,Elnohayyar,2,0,28,272593,65,3513,170,5543,75,0,0,26543,4,0,0,1,7,0,0,111,0,0,4,5505,0,88,160739,0
Jaquarius,,Gatfield,2,0,10,272594,695,1004,183,5552,75,0,0,26545,8,2,0,1,9,1,0,82,0,0,8,5552,0,83,160739,0
Felix,,Taraldrud,2,8,4,272595,65,4012,181,5511,75,0,0,26540,2,3,0,0,1,1,0,36,0,0,2,5504,0,81,160739,8
Beatriz,Beatriz Rochelinhas,Rochelinhas,151,3,0,274869,33,5511,163,5701,75,0,1,274869,5,0,0,5,9,0,1,54,0,0,5,5701,0,88,160858,0
Kamilly,Kamilly Creporizão,Creporizão Silva,101,20,0,274870,79,7031,167,5701,75,0,1,274870,4,0,0,5,9,1,1,54,0,0,4,5701,0,89,160858,0
Haojian,Haojian Lienna,Lienna,151,13,0,274871,910,6031,150,5704,75,0,1,274871,4,0,0,4,9,0,1,155,0,0,4,5704,0,87,160858,0
Sanhaozhan,Sanhaozhan Nuan,Nuan,104,0,0,274872,589,6004,154,5706,75,0,1,274872,4,0,0,4,9,0,1,155,0,0,4,5700,0,88,160858,0
Laia,,Guapacha,101,3,0,274873,918,9018,167,5705,75,0,1,274873,2,0,0,5,3,0,1,56,0,0,2,5700,0,87,160858,3
Elexa,,Remolinos,151,3,0,274874,591,7032,162,5701,75,0,1,274874,5,0,0,5,9,1,1,56,0,0,5,5701,0,88,160858,0
Aklina,,Čačvina,151,4,0,274875,516,7033,166,5706,75,0,1,274875,1,0,0,5,1,0,1,10,0,0,1,5700,0,87,160858,0
Safranka,,Grabovo,103,6,0,274876,392,7033,168,5701,75,0,1,274876,2,0,0,5,6,0,1,10,0,0,2,5701,0,88,160858,0
Victoire,,Le Denmat,101,27,0,274877,52,9528,166,5704,75,0,1,274877,2,0,0,4,1,1,1,18,0,0,2,5703,0,87,160858,13
Clarisse,,Razinel,101,6,0,274878,588,9004,162,5701,75,0,1,274878,2,0,0,5,1,0,1,18,0,0,2,5701,0,88,160858,0
Kamiko,,Norakawa,104,3,0,274879,444,6004,162,5701,75,0,1,274879,4,0,0,4,3,0,1,163,0,0,4,5701,0,88,160858,6
Mitsuko,,Petegari,104,7,0,274880,514,6031,158,5704,75,0,1,274880,4,0,0,3,9,0,1,163,0,0,4,5703,0,87,160858,6
Soraya,,Khallaayoune,102,3,0,274881,452,7032,169,5706,75,0,1,274881,4,0,0,4,9,1,1,129,0,0,4,5702,0,88,160858,0
Saeeda,,Rchida,102,3,0,274882,594,9016,166,5702,75,0,1,274882,4,0,0,5,9,0,1,129,0,0,4,5702,0,88,160858,0
Clarissa,,Orelién,100,0,0,274883,590,5513,168,5706,75,0,1,274883,5,0,0,3,9,0,1,60,0,0,5,5700,0,87,160858,0
Antonella,,Salvatoura,101,3,0,274884,586,9016,167,5701,75,0,1,274884,3,0,0,3,2,0,1,60,0,0,3,5701,0,88,160858,0
Kindra,,Endeley,101,15,0,274885,514,7033,163,5701,75,0,1,274885,2,0,0,4,10,0,1,95,0,0,2,5701,0,88,160858,6
Jolie,,Manuolo,104,3,0,274886,589,9531,168,5704,75,0,1,274886,2,0,0,3,9,1,1,95,0,0,2,5704,0,88,160858,0
Nedžara,,Jelecak,101,2,0,274887,84,9522,165,5701,75,0,1,274887,2,0,0,4,1,1,1,8,0,0,2,5701,0,88,160858,0
Rejhana,,Duzhmani,101,16,0,274888,589,7007,167,5704,75,0,1,274888,3,0,0,5,1,1,1,8,0,0,3,5704,0,88,160858,2
Delia María,,Siqueiros,101,3,0,274900,589,7036,168,5702,75,0,1,274900,2,0,0,5,1,1,1,83,0,0,2,5702,0,88,160859,0
Volga,,Villeda,100,3,0,274901,421,9522,165,5706,75,0,1,274901,2,0,0,5,9,0,1,83,0,0,2,5703,0,88,160859,0
Wilmary,,Amorebielsa,102,5,0,274907,589,9005,165,5706,75,0,1,274907,2,0,0,3,9,1,1,61,0,0,2,5703,0,87,160859,3
Yenifer,,Gernaldez,102,5,0,274908,444,7033,172,5706,75,0,1,274908,4,0,0,5,9,1,1,61,0,0,4,5700,0,88,160859,20
Mikel,Mikel Arteta,Arteta Amatriain,2,0,4,254782,160,2521,175,5557,75,0,0,45119,4,3,1,1,5,0,0,45,0,0,3,5566,0,81,159678,0
Unai,Unai Emery,Emery Etxegoien,51,0,0,237389,30,2020,181,5541,75,1,0,237389,3,0,2,0,4,1,0,45,0,0,4,5510,0,81,160725,0
,,,51,5,0,254883,155,3,182,5511,75,0,0,26541,2,3,3,0,6,0,0,13,0,0,2,5506,0,82,160585,1
,,,2,6,4,257088,114,3500,191,5578,75,0,0,26541,2,3,4,2,6,1,0,14,0,0,2,5578,0,85,159872,3
Mauricio,,Pochettino,51,3,6,8885,174,2512,182,5511,81,1,0,8885,2,3,5,1,4,0,0,52,0,0,1,5510,0,82,160967,0
Sean,,Dyche,51,17,3,51404,43,3500,183,5538,86,1,0,51404,1,0,7,0,6,1,0,14,0,0,3,5517,0,82,160815,7
,,,51,5,50,249179,35,1546,182,5707,75,0,0,26541,3,3,8,0,6,0,0,21,0,0,3,5567,0,82,160970,23
Jürgen,,Klopp,51,8,8,232302,310,3516,193,5509,70,1,0,232302,3,0,9,0,1,1,0,21,0,0,4,5707,0,86,158144,8
Josep,Pep Guardiola,Guardiola i Sala,51,6,8,169894,0,1502,180,5509,73,1,0,243712,3,4,10,0,4,1,0,45,0,1,4,5718,0,81,158411,9
Erik,,ten Hag,51,9,4,249329,0,4008,182,5509,75,1,0,249329,3,0,11,2,5,0,0,34,0,0,5,5505,0,81,160977,3
,,,2,3,50,265587,129,4008,188,5557,75,0,0,26541,2,3,12,6,6,0,0,14,0,0,2,5510,0,84,160717,3
Eddie,,Howe,51,1,6,232297,118,2021,178,5509,75,1,0,232297,2,0,13,2,2,0,0,14,0,0,3,5566,0,81,160367,1
Steve,,Cooper,51,4,0,251137,290,17,182,5509,75,1,0,251137,1,3,14,6,2,0,0,50,0,0,1,5566,0,82,160977,1
,,,51,6,0,139479,12,2000,178,5557,79,0,0,26540,2,3,15,2,1,1,0,14,0,0,2,5713,0,82,160837,22
,,,2,3,28,254124,42,2517,185,5557,75,0,0,26543,1,0,17,0,7,0,0,42,0,0,1,5551,0,85,160957,3
Ange,,Postecoglou,51,9,4,220812,181,2007,184,5511,75,0,0,220812,4,0,18,0,4,0,1,195,0,0,4,5579,0,83,160967,9
David,,Moyes,51,24,0,235732,648,3516,185,5511,79,1,0,235732,1,0,19,2,8,0,0,42,0,0,3,5506,0,85,159687,4
,,,2,5,6,250585,310,2000,192,5511,75,0,0,26540,2,3,21,1,1,1,0,21,0,0,2,5506,0,84,160868,9
,,,2,19,6,260049,162,4003,184,5511,75,0,0,26541,2,3,22,2,6,0,0,21,0,0,2,5506,0,82,160602,5
,,,51,3,6,138420,35,2512,186,5509,83,0,0,26541,3,3,23,0,6,0,0,47,0,0,3,5520,0,85,160237,6
,,,51,24,0,249127,655,3516,181,5557,75,0,0,26542,2,0,25,0,3,1,0,21,0,0,2,5551,0,81,156765,1
,,,51,23,0,248964,244,2515,182,5511,75,0,0,26543,3,0,27,2,7,0,0,21,0,0,3,5522,0,83,160866,0
,,,51,8,8,250590,37,2500,192,5511,75,0,0,26542,3,0,28,0,3,1,0,21,0,0,3,5520,0,85,160237,8
,,,51,23,6,249262,645,2016,178,5520,75,0,0,26543,2,0,29,0,7,0,0,21,0,0,2,5522,0,82,160550,0
,,,51,6,8,650,181,30,178,5566,77,0,0,26538,2,0,31,0,2,1,0,21,0,0,2,5522,0,83,160237,23
,,,2,3,4,262757,149,3516,183,5529,75,0,0,26541,2,3,32,0,6,0,0,45,0,0,2,5522,0,82,160698,7
Maurizio,,Jacobacci,51,8,8,250063,69,3516,170,5509,75,0,0,250063,2,0,33,0,9,0,1,27,0,0,2,5500,0,88,160843,8
,,,2,24,50,253183,101,4013,183,5527,75,0,0,26539,2,0,34,1,1,0,0,21,0,0,2,5707,0,83,160720,23
,,,2,5,4,251527,114,34,178,5557,75,0,0,26540,2,3,36,6,1,0,0,21,0,0,2,5552,0,82,160878,20
,,,0,6,6,253394,43,3510,189,5511,75,0,0,26544,2,0,38,0,9,0,0,21,0,0,2,5510,0,85,160387,6
Simone,,Inzaghi,2,0,0,7728,59,1526,183,5548,82,0,0,7728,2,0,44,0,3,1,1,27,0,0,2,5580,0,81,160209,0
Massimiliano,,Allegri,51,23,6,250047,290,1508,181,5529,75,1,0,250047,1,0,45,1,6,0,0,27,0,0,3,5514,0,82,160203,23
Stefano,,Pioli,51,9,14,250527,0,2014,183,5500,75,0,0,250527,2,0,47,6,9,0,1,27,0,0,2,5566,0,82,159606,8
Fabio,,Pecchia,2,9,4,1145,17,1519,172,5560,68,0,0,1145,2,0,50,0,3,1,1,27,0,0,2,5578,0,88,160573,9
Ivan,,Jurić,51,23,50,155191,59,1518,175,5510,67,0,0,155191,2,0,54,1,5,1,1,10,0,0,2,5713,0,82,160237,23
Andrea,,Sottil,2,6,45,1016,139,1531,185,5510,83,0,0,1016,3,0,55,0,1,1,1,27,0,0,3,5566,0,85,160578,8
,,,51,9,0,249132,105,3513,176,5509,75,0,0,26540,2,3,57,0,1,0,0,18,0,0,2,5523,0,82,160719,0
,,,2,24,0,250357,182,1506,183,5509,75,0,0,26540,3,3,58,0,1,1,0,18,0,0,3,5513,0,81,160331,3
,,,51,8,45,249211,39,4009,177,5555,75,0,0,26540,3,3,59,0,1,0,0,18,0,0,3,5523,0,82,160468,8
,,,51,6,6,262532,682,4004,183,5557,75,0,0,26539,1,0,62,2,1,0,0,18,0,0,1,5566,0,81,160237,3
,,,51,9,8,116880,150,2508,179,5509,76,0,0,26543,2,0,64,2,7,0,0,18,0,0,2,5569,0,82,159745,8
,,,2,21,6,250262,156,2522,188,5530,75,0,0,26543,2,0,65,0,7,0,0,38,0,0,2,5502,0,84,160602,21
,,,2,5,6,271996,101,2022,192,5580,75,0,0,26540,2,3,66,0,1,0,0,18,0,0,2,5580,0,84,160703,0
,,,51,24,0,249887,632,19,178,5511,75,0,0,26542,2,0,68,0,3,1,0,39,0,0,2,5506,0,82,160587,22
,,,51,9,4,248898,150,2504,184,5509,75,0,0,26544,2,0,69,0,9,0,0,4,0,0,2,5566,0,82,160970,0
,,,51,9,50,250092,290,3516,180,5529,75,0,0,26538,1,0,70,1,2,1,0,3,0,0,1,5525,0,82,160824,8
,,,51,3,0,275309,92,1506,180,5506,75,0,0,26540,2,3,71,0,1,0,0,18,0,0,2,5506,0,81,160914,6
,,,2,0,4,263710,657,3514,174,5520,75,0,0,26543,3,0,72,6,7,1,0,27,0,0,3,5566,0,87,160967,0
Luis Enrique,Luis Enrique,Martínez García,1,9,4,249948,293,2500,180,5536,75,0,0,249948,3,0,73,0,6,0,1,45,0,0,3,5523,0,82,160971,0
,,,51,9,16,249073,230,3510,172,5511,75,0,0,26539,1,0,74,0,1,0,0,18,0,0,1,5520,0,88,160118,0
,,,51,0,6,262194,43,1000,192,5555,75,0,0,26545,9,2,76,0,9,0,0,18,0,0,9,5508,0,85,160968,0
Barry,,Robson,2,2,0,274909,123,42,180,5511,75,0,0,274909,2,0,77,0,1,0,1,42,0,0,2,5510,0,81,160814,2
Brendan,,Rodgers,51,5,0,249063,150,2515,170,5539,75,1,0,249063,2,3,78,1,7,0,0,35,0,0,3,5579,0,88,160955,5
Steven,,Naismith,2,4,6,275112,0,3516,178,5707,75,0,0,275112,1,0,80,2,2,1,1,42,0,0,1,5707,0,82,160886,1
Lee,,Johnson,2,23,4,11785,140,1553,168,5511,66,0,0,11785,2,0,81,0,6,0,1,14,0,0,2,5504,0,89,160559,23
Derek,,McInnes,2,9,8,51495,65,1526,170,5509,65,0,0,51495,3,0,82,0,3,0,1,42,0,0,3,5551,0,88,160424,9
Stuart,,Kettlewell,2,6,6,208673,65,15,183,5506,70,0,0,208673,2,0,83,0,3,0,1,42,0,0,2,5506,0,82,160838,3
Michael,,Beale,51,19,45,270979,122,1554,184,5564,75,0,0,270979,2,0,86,0,1,0,1,14,0,0,2,5518,0,82,160752,9
,,,51,5,6,53686,655,4003,183,5551,84,0,0,26541,2,3,88,2,6,0,0,14,0,0,2,5551,0,82,160604,3
,,,2,2,4,249221,289,59,185,5509,75,0,0,26539,2,0,89,0,1,0,0,14,0,0,2,5718,0,84,160774,2
,,,51,23,8,53904,0,43,175,5511,74,0,0,26544,2,0,91,1,9,1,0,14,0,0,2,5510,0,81,160685,23
,,,51,23,6,53895,655,12,164,5511,59,0,0,26541,2,3,92,0,6,0,0,14,0,0,2,5713,0,88,160054,23
,,,2,9,6,266184,189,47,185,5511,71,0,0,26541,2,3,94,0,6,0,0,35,0,0,2,5534,0,85,160405,3
,,,2,0,8,263428,0,2004,180,5510,75,0,0,26544,2,0,95,0,9,0,0,27,0,0,2,5510,0,82,160952,23
,,,2,19,4,51337,150,1518,183,5511,81,0,0,26540,2,3,97,0,1,0,0,14,0,0,2,5506,0,82,159618,6
,,,51,24,0,250608,114,30,185,5555,75,0,0,26542,1,0,106,6,3,0,0,14,0,0,1,5718,0,85,160662,6
,,,2,0,8,257433,221,25,188,5527,75,0,0,26543,2,0,109,0,7,1,0,45,0,0,2,5520,0,85,160718,0
Gary,,O'Neil,2,9,50,271713,243,1507,173,5510,75,1,0,53593,2,1,110,0,8,0,0,14,0,0,4,5510,0,88,161006,23
,,,51,0,0,272649,693,2009,178,5511,75,0,0,26541,1,3,121,0,6,0,0,14,0,0,1,5510,0,81,160728,0
,,,2,6,0,262263,284,2031,177,5511,75,0,0,26541,2,3,127,1,6,0,0,14,0,0,2,5551,0,81,160962,6
,,,2,8,14,249499,289,3500,178,5511,75,0,0,26539,2,0,142,0,1,0,0,35,0,0,2,5567,0,82,160917,1
,,,2,6,6,45098,115,33,185,5511,74,0,0,26540,2,3,143,2,1,1,0,42,0,0,2,5520,0,86,160717,6
Marco Alexandre,Marco Silva,Saraiva da Silva,2,3,6,178609,177,30,180,5557,75,1,0,178609,3,0,144,1,4,0,0,38,0,0,3,5567,0,82,160237,3
,,,51,23,0,255182,65,41,180,5511,75,0,0,26541,1,3,149,1,6,0,0,25,0,0,1,5707,0,82,160552,23
Michél,,Kniat,2,3,8,267907,642,1508,191,5509,75,0,0,267907,2,0,159,2,3,1,1,21,0,0,2,5569,0,85,160949,3
,,,51,0,0,250582,0,11,190,5555,75,0,0,26538,2,0,160,1,2,0,0,21,0,0,2,5522,0,84,160685,0
,,,51,8,50,248943,655,2502,182,5553,75,0,0,26540,2,3,165,1,1,1,0,21,0,0,2,5567,0,83,160717,19
,,,0,3,6,3492,243,3505,179,5557,83,0,0,26541,2,3,166,2,6,0,0,23,0,0,2,5520,0,82,160891,22
,,,2,2,8,260230,655,3500,190,5509,75,0,0,26539,2,0,169,0,1,1,0,13,0,0,2,5522,0,85,160059,5
,,,2,23,8,249161,124,3502,182,5511,75,0,0,26543,2,0,171,1,7,0,0,21,0,0,2,5506,0,83,160938,23
Marc,,Unterberger,0,20,4,276133,660,17,180,5506,75,0,0,276133,2,0,172,2,3,0,1,21,0,0,2,5510,0,82,160962,20
,,,2,3,6,3800,57,2002,176,5528,72,0,0,26541,3,3,175,0,6,0,0,10,0,0,3,5567,0,82,160602,3
Tony,,Docherty,2,9,6,276364,660,2006,173,5510,75,0,0,276364,2,0,180,0,2,0,1,42,0,0,2,5566,0,89,160934,8
Thiago,,Motta,2,3,0,254126,61,1526,187,5558,75,1,0,254126,4,3,189,0,3,0,0,27,0,0,3,5717,0,2,160675,0
Gerhard,,Struber,51,4,6,251656,0,1522,172,5533,75,0,0,251656,2,0,191,6,3,0,1,4,0,0,2,5520,0,87,160997,6
Paolo,,Vanoli,2,3,4,266077,9,58,184,5510,75,0,0,266077,1,0,205,0,3,1,1,27,0,0,1,5715,0,82,160731,8
Marco,,Baroni,51,8,12,249993,641,1521,185,5532,75,0,0,249993,3,0,206,1,9,0,1,27,0,0,3,5566,0,85,160967,8
Christian,,Ilzer,2,0,28,249125,0,7,183,5557,75,0,0,249125,1,0,209,0,6,1,1,4,0,0,1,5507,0,82,159888,23
,,,51,24,0,249654,92,2004,187,5511,75,0,0,26537,1,0,210,1,1,0,0,18,0,0,1,5505,0,84,159506,3
Sergej,,Jakirović,2,3,0,277879,672,2510,191,5511,75,0,0,277879,2,0,211,6,3,1,1,8,0,0,2,5513,0,85,161018,3
,,,2,3,0,270696,181,2511,180,5509,75,0,0,26538,2,0,217,0,2,0,0,18,0,0,2,5566,0,82,160598,6
,,,51,22,6,241611,78,1526,170,5514,73,0,0,26541,2,3,219,0,6,1,0,45,0,0,2,5523,0,88,160967,0
Brian,,Riemer,51,9,6,272666,0,3516,180,5511,75,0,0,272666,2,0,229,0,1,0,1,13,0,0,2,5510,0,82,160756,9
Mark,,van Bommel,51,9,4,19765,22,2002,187,5509,86,0,0,19765,2,0,230,2,3,0,1,34,0,0,2,5508,0,85,157134,23
Ronny,,Deila,51,3,6,30398,230,1507,188,5511,86,0,0,30398,2,0,231,0,1,0,1,36,0,0,2,5508,0,85,160602,9
Carl,,Hoefkens,2,20,14,269322,61,1514,185,5511,75,0,0,269322,3,0,232,0,3,1,1,7,0,0,3,5500,0,86,160952,22
Roger,,Schmidt,51,6,0,250418,655,4018,188,5509,75,0,0,250418,3,0,234,6,4,0,1,21,0,0,3,5566,0,84,160602,6
Sérgio Paulo,Sérgio Conceição,Conceição,51,23,8,250492,65,4024,176,5555,75,1,0,7854,6,3,236,0,3,1,0,38,0,0,4,5504,0,82,158776,23
Rúben Filipe,Rúben Amorim,Marques Amorim,2,0,8,254801,220,1533,180,5707,75,0,0,254801,4,0,237,1,3,0,1,38,0,0,4,5522,0,82,159754,0
Diego,,Simeone,51,3,4,5571,446,1526,177,5509,77,1,0,5571,3,0,240,0,6,1,0,52,0,0,4,5500,0,81,156759,0
Xavier,Xavi,Hernández Creus,2,0,50,265436,221,42,170,5509,75,0,0,10535,3,0,241,1,9,0,0,45,0,0,3,5718,0,88,160365,23
Carlo,,Ancelotti,51,8,0,237388,114,4021,179,5529,75,1,0,237388,4,0,243,0,1,0,0,27,0,0,4,5502,0,82,160237,9
Francisco,Fran Escribá,Escribá Segura,51,24,0,249399,181,1537,170,5501,75,0,0,249399,4,0,244,0,3,0,1,45,0,0,4,5534,0,88,160732,3
,,,51,9,6,250058,182,2016,179,5538,75,0,0,26544,3,0,245,0,9,0,0,34,0,0,3,5504,0,82,160967,22
,,,2,0,6,250808,0,48,184,5511,75,0,0,26538,2,0,246,2,2,0,0,34,0,0,2,5566,0,83,160237,3
,,,2,0,6,250295,0,2006,175,5527,75,0,0,26544,2,0,247,2,9,0,0,34,0,0,2,5566,0,82,160967,0
Thomas,,Sageder,2,2,0,277936,117,4019,180,5511,75,0,0,277936,2,0,252,0,2,0,1,4,0,0,2,5727,0,82,160967,2
Zoran,,Barišić,51,3,6,250721,642,2506,181,5511,75,0,0,250721,2,0,254,0,1,1,1,4,0,0,2,5506,0,82,160709,23
Michael,,Wimmer,2,1,6,272000,231,4011,184,5521,75,0,0,272000,3,0,256,0,2,1,1,21,0,0,3,5569,0,83,160788,5
Asier,Asier Garitano,Garitano,2,0,0,249029,188,4013,169,5509,75,0,0,249029,2,0,260,0,4,0,1,45,0,0,2,5566,0,88,160967,0
Ivan,,Leko,2,6,8,6016,167,2016,179,5555,79,0,0,6016,2,0,263,0,4,0,1,10,0,0,2,5551,0,82,160056,23
Jindřich,,Trpišovský,51,0,28,249675,290,12,180,5527,75,0,0,249675,2,0,266,1,1,0,1,12,0,0,2,5566,0,82,159140,8
Brian,,Priske,2,23,6,252928,161,2508,188,5557,75,0,0,252928,2,0,267,0,1,1,1,13,0,0,2,5714,0,85,160602,23
Jesper,,Sørensen,51,9,4,249664,0,4010,177,5557,75,0,0,249664,2,0,269,1,1,0,1,13,0,0,2,5506,0,81,160787,9
Kent,,Nielsen,51,9,6,249849,154,2007,192,5551,75,0,0,249849,1,0,270,1,1,1,1,13,0,0,1,5551,0,86,159506,6
Uwe,,Rösler,51,23,6,250629,0,2016,184,5509,75,0,0,250629,3,0,271,0,6,1,1,21,0,0,3,5722,0,82,160585,9
Andreas,,Alm,2,0,8,41487,297,3,180,5529,80,0,0,41487,1,0,272,0,3,0,1,46,0,0,1,5508,0,82,160207,0
Matías,,Almeyda,2,3,0,4784,10,1526,174,5509,72,0,0,4784,2,0,278,0,4,1,1,52,0,0,2,5585,0,88,160602,3
,,,2,3,0,258665,25,4502,188,5510,75,0,0,26545,6,2,294,1,9,1,0,195,0,0,6,5566,0,84,160747,3
Svein,,Maalen,51,27,4,250553,118,37,185,5560,75,0,0,250553,3,0,298,0,3,0,1,36,0,0,3,5728,0,86,160982,27
Eirik,,Bakke,2,3,0,29276,148,4000,188,5558,80,0,0,29276,1,0,299,2,1,0,1,36,0,0,1,5724,0,85,161007,3
Bjarte Lunde,,Aarsheim,2,9,4,249057,151,2019,177,5509,75,0,0,249057,1,0,300,0,3,0,1,36,0,0,1,5722,0,81,160056,9
Janusz,,Niedźwiedź,51,0,0,269444,0,1550,180,5529,75,0,0,269444,2,0,301,6,1,0,1,37,0,0,2,5566,0,82,160237,3
Declan,,Devine,1,23,0,157093,21,608,183,5511,73,0,0,157093,2,0,305,0,3,0,1,35,0,0,2,5510,0,82,160707,9
Stephen,,Bradley,2,3,8,169187,77,1520,170,5511,63,0,0,169187,2,0,306,1,2,1,1,25,0,0,2,5510,0,88,158549,23
Laurențiu,,Reghecampf,51,9,6,249891,242,48,174,5526,75,0,0,249891,3,0,308,1,1,1,1,39,0,0,3,5566,0,88,160262,23
Cristiano,,Bergodi,51,9,0,249164,156,3513,188,5511,75,0,0,249164,2,0,310,0,3,0,1,27,0,0,2,5554,0,85,160976,3
Jens Berthel,,Askou,2,1,6,249660,0,2027,190,5506,75,0,0,249660,1,0,319,0,1,1,1,13,0,0,1,5506,0,85,160943,1
Henrik,,Rydström,2,5,4,47178,0,30,177,5560,72,0,0,47178,2,0,320,1,1,1,1,46,0,0,2,5510,0,82,160755,6
Magnus,,Haglund,51,2,8,249962,290,30,185,5548,75,0,0,249962,1,0,321,0,2,0,1,46,0,0,1,5507,0,85,159451,1
Bruno,,Berner,51,20,0,256687,114,1510,185,5557,75,0,0,256687,3,0,322,0,3,0,1,47,0,0,3,5523,0,85,160967,6
René,,Weiler,51,3,6,250367,179,42,180,5507,75,0,0,250367,2,0,324,1,6,0,1,47,0,0,2,5534,0,82,160967,3
Okan,,Buruk,51,0,4,250192,122,2517,170,5530,75,0,0,250192,3,0,325,0,9,0,1,48,0,0,3,5500,0,88,160593,0
Ismail,,Kartal,51,8,0,249609,72,2,176,5550,75,0,0,249609,6,0,326,1,3,0,1,48,0,0,6,5554,0,82,160967,0
Şenol,,Güneş,51,9,0,250476,150,30,178,5557,75,0,0,250476,3,0,327,1,5,0,1,48,0,0,3,5502,0,82,160721,0
Roberto,,D'Aversa,51,23,28,164378,77,30,184,5509,75,0,0,164378,2,0,347,0,3,0,1,27,0,0,2,5501,0,82,160963,9
,,,51,6,0,4104,655,57,178,5509,69,0,0,26540,1,3,357,0,1,1,0,42,0,0,1,5566,0,82,160475,6
,,,51,24,0,250542,150,4019,170,5511,75,0,0,26539,2,0,361,6,1,1,0,42,0,0,2,5582,0,89,160495,8
,,,51,24,4,272892,167,1533,188,5509,75,0,0,26537,2,0,378,1,1,0,0,18,0,0,2,5551,0,84,160788,24
,,,1,7,0,260609,148,2027,190,5511,75,0,0,26539,1,0,379,6,1,0,0,7,0,0,1,5506,0,85,160706,7
,,,2,4,6,250293,284,27,180,5511,75,0,0,26539,1,0,381,0,1,0,0,14,0,0,1,5717,0,82,160567,1
,,,0,0,0,63013,16,1,180,5500,75,0,0,26537,2,0,383,0,1,1,0,14,0,0,2,5500,0,86,158960,0
Răzvan,,Lucescu,51,23,6,250354,141,25,179,5529,75,0,0,250354,4,0,393,0,6,1,1,39,0,0,4,5578,0,82,160237,0
Erling,,Moe,51,9,6,249331,234,3516,180,5511,75,0,0,249331,2,0,417,6,1,0,1,36,0,0,2,5506,0,82,159443,0
