chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,jerseynamefonttype,teamkitid,teamcolorprimpercent,teamcolorsecpercent,year,captainarmband,teamtechid,isembargoed,hasadvertisingkit,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,jerseyrestriction
0,1,0,151,0,0,220,197,0,220,232,220,197,231,220,46,0,220,14,46,0,1,232,0,14,75,220,231,220,0,220,0,18,220,197,232,0,220,46,220,231,220,0,0,-1,0,0,23,49,1350,50,48,0,14,3,0,0,0,97,0,89,0,0,0
0,1,220,48,0,0,238,220,220,12,48,12,220,44,12,220,0,12,14,220,0,1,49,220,14,48,12,45,57,0,12,49,7,12,220,48,0,52,220,12,44,12,0,1,-1,0,0,23,49,1351,96,96,0,14,3,0,0,0,99,0,89,0,0,0
0,1,220,57,0,0,238,220,220,12,30,12,220,57,12,220,0,12,14,220,0,1,206,220,14,30,12,211,57,0,12,206,7,12,220,57,0,52,220,12,31,12,0,2,-1,0,0,23,49,1766,93,93,0,14,3,0,0,0,91,0,89,0,0,0
0,1,0,63,0,0,220,197,0,220,231,46,197,64,220,46,1,220,60,46,0,1,231,0,0,32,220,7,220,0,197,8,7,0,197,231,0,220,46,220,32,220,0,0,-1,0,0,23,49,1352,90,6,0,14,4,0,0,0,90,1,89,0,0,0
0,1,220,230,0,0,238,220,220,12,30,15,220,30,12,220,1,12,60,220,0,1,30,220,0,230,12,30,57,0,194,230,0,8,220,30,0,52,220,12,30,12,0,1,-1,0,0,23,49,1353,92,5,0,14,4,0,0,0,99,0,89,0,0,0
0,1,12,28,0,0,220,12,12,220,79,220,12,45,220,12,1,220,60,12,0,1,234,12,0,39,220,234,220,0,220,227,7,220,12,44,0,220,12,220,79,220,0,2,-1,0,0,23,49,1767,81,13,0,14,4,0,0,0,92,0,89,0,0,0
0,1,220,247,0,0,220,220,220,220,60,12,220,112,12,220,1,12,13,220,0,1,47,220,13,247,220,47,220,0,12,247,0,12,220,113,0,220,220,12,60,220,0,0,-1,0,0,262,135,1354,92,5,0,13,5,0,1,0,100,0,262,0,0,1
0,1,220,161,0,0,220,220,220,220,34,12,220,44,12,220,1,12,13,220,0,1,27,220,13,97,220,27,220,0,12,46,0,12,220,44,0,220,220,12,33,220,0,1,-1,0,0,262,135,1355,77,22,0,13,5,0,1,0,77,0,262,7,0,1
0,1,12,66,0,0,25,12,12,25,230,220,12,65,220,12,1,220,13,12,0,1,253,12,13,230,25,253,25,0,220,253,0,220,12,66,0,25,12,220,230,25,0,2,-1,0,0,265,135,1356,98,98,0,13,5,0,1,0,100,1,265,0,0,0
0,1,12,26,0,0,25,12,12,25,212,220,12,190,220,12,1,220,13,12,0,1,188,12,13,23,25,186,25,0,220,21,0,220,12,192,0,25,12,220,210,25,0,3,-1,0,0,265,135,1357,82,16,0,13,5,0,1,0,78,1,265,0,0,1
0,1,12,230,0,0,220,220,220,25,75,220,12,207,12,12,1,12,13,220,0,1,9,220,13,230,25,207,220,0,220,230,11,220,220,125,0,220,220,12,207,25,0,0,-1,0,0,262,135,1358,89,9,0,13,7,0,1,0,94,0,265,0,0,0
0,1,220,74,0,0,33,28,30,220,80,12,220,64,220,220,1,220,13,77,0,1,241,30,13,49,220,11,41,0,12,17,7,12,28,81,0,99,77,220,42,220,0,1,-1,0,0,265,135,1359,87,10,0,13,7,0,1,0,94,0,262,0,0,0
0,1,220,70,0,0,220,220,220,220,106,12,220,50,12,220,1,12,13,220,0,1,8,220,13,155,220,7,220,0,12,30,7,12,220,57,0,220,220,12,90,220,0,2,-1,0,0,262,135,1768,91,6,0,13,7,0,1,0,94,0,262,0,0,1
0,1,30,131,0,0,33,28,30,99,192,220,28,167,220,77,1,220,13,77,0,1,190,30,13,130,41,163,41,0,220,130,7,220,28,195,0,99,77,220,164,33,0,3,-1,0,0,265,135,2769,63,32,0,13,7,0,1,0,91,1,265,0,0,0
0,1,65,229,0,0,144,33,65,75,229,220,33,228,114,158,0,144,14,158,0,1,229,65,14,229,114,228,114,0,220,229,19,220,33,229,0,75,158,75,228,144,0,0,-1,0,0,23,49,633,97,97,0,14,8,0,0,0,96,1,89,0,0,1
0,1,220,82,0,0,238,220,220,12,53,12,220,73,12,220,0,12,14,220,0,1,45,220,14,53,12,45,57,0,12,45,7,12,220,82,0,52,220,12,50,12,0,1,-1,0,0,23,49,634,91,91,0,14,8,0,0,0,94,0,89,0,0,1
0,1,220,137,0,0,238,220,220,12,47,12,220,137,12,220,0,12,14,220,0,1,178,220,14,73,12,106,57,0,12,106,7,12,220,115,0,52,220,12,74,12,0,2,-1,0,0,23,49,4385,73,12,0,14,8,0,0,0,95,0,89,0,0,2
0,1,217,144,0,0,0,247,217,136,114,136,247,114,28,144,0,0,14,144,0,1,220,217,14,217,28,196,28,0,0,247,0,28,247,120,0,136,144,136,110,0,0,3,-1,0,0,23,49,5025,54,31,0,14,8,0,0,0,94,1,89,0,0,1
0,1,220,230,0,0,220,220,220,220,23,12,220,41,12,220,0,12,13,220,0,1,128,220,13,231,220,129,220,0,12,231,0,12,220,40,0,220,220,12,24,220,0,0,-1,0,0,262,135,1360,92,6,0,13,9,0,0,0,100,0,262,7,0,1
0,1,220,139,0,0,25,12,12,220,231,12,220,33,220,220,0,220,13,12,0,1,230,12,13,190,220,33,25,0,12,145,0,12,12,230,0,25,12,220,33,220,0,1,-1,0,0,265,135,1361,65,11,0,13,9,0,0,0,99,1,262,7,0,1
0,1,220,26,0,0,220,220,220,220,58,12,220,63,12,220,0,12,13,220,0,1,58,220,13,23,220,56,220,0,12,23,0,12,220,64,0,220,220,12,56,220,0,2,-1,0,0,262,135,1769,68,30,0,13,9,0,0,0,62,0,262,7,0,0
0,1,220,145,0,0,220,220,220,220,60,12,220,118,12,220,0,12,13,220,0,1,72,220,13,91,220,77,220,0,12,104,0,12,220,114,0,220,220,12,65,220,0,3,-1,0,0,262,135,1770,50,33,0,13,9,0,0,0,86,0,262,0,0,1
0,1,30,192,0,0,220,220,220,99,147,220,28,231,12,77,1,12,500013,220,0,1,116,220,13,147,41,231,220,0,220,116,7,220,220,192,0,220,220,12,231,33,0,0,-1,0,0,262,135,1362,91,91,0,13,10,0,1,0,83,0,265,0,0,0
0,1,220,224,0,0,25,12,12,220,224,12,220,43,220,220,1,220,500013,12,0,1,224,12,13,224,220,87,25,0,12,224,8,12,12,224,0,25,12,220,40,220,0,1,-1,0,0,265,135,1363,92,92,0,13,10,0,1,0,98,0,262,0,0,0
0,1,220,134,0,0,220,220,220,220,82,12,220,102,12,220,1,12,500013,220,0,1,108,220,13,34,220,103,220,0,12,230,7,12,220,106,0,220,220,12,78,220,0,2,-1,0,0,262,135,1771,81,16,0,13,10,0,1,0,89,0,262,0,0,0
0,1,220,48,0,0,220,220,220,220,39,12,220,48,12,220,1,12,500013,220,0,1,45,220,13,39,220,44,220,0,12,45,0,12,220,48,0,220,220,12,39,220,0,3,-1,0,0,262,135,4640,94,94,0,13,10,0,1,0,97,0,262,0,0,0
0,1,12,33,0,0,220,220,220,25,30,220,12,231,12,12,1,12,13,220,0,1,215,220,13,33,25,231,220,0,220,35,7,220,220,64,0,220,220,12,231,25,0,0,-1,0,0,262,135,1364,91,5,0,13,11,0,0,0,95,0,265,0,0,0
0,1,220,230,0,0,220,220,220,220,53,12,220,31,12,220,1,12,13,220,0,1,42,220,13,243,220,30,220,0,12,243,7,12,220,52,0,220,220,12,31,220,0,1,-1,0,0,262,135,1365,78,15,0,13,11,0,0,0,95,0,262,0,0,0
0,1,12,30,0,0,25,12,12,25,192,220,12,74,220,12,1,220,13,12,0,1,149,12,13,30,25,145,25,0,220,30,7,220,12,80,0,25,12,220,189,25,0,2,-1,0,0,265,135,1366,91,6,0,13,11,0,0,0,95,0,265,0,0,0
0,1,220,175,0,0,25,12,12,220,223,12,220,52,220,220,1,220,13,12,0,1,223,12,13,180,220,120,25,0,12,181,7,12,12,218,0,25,12,220,39,220,0,3,-1,0,0,265,135,1367,91,6,0,13,11,0,0,0,98,1,262,0,0,0
0,1,220,55,0,0,238,220,220,12,25,12,220,55,12,220,1,12,14,220,0,1,230,220,14,25,12,230,57,0,12,230,5,12,220,55,0,52,220,12,25,12,0,0,-1,0,0,23,49,1368,90,90,0,14,12,0,1,0,88,0,89,0,0,0
0,1,220,20,0,0,238,220,220,12,25,12,220,60,12,220,1,12,14,220,0,1,5,220,14,234,12,8,57,0,12,238,7,12,220,54,0,52,220,12,28,12,0,1,-1,0,0,23,49,1369,86,9,0,14,12,0,1,0,93,0,89,0,0,0
0,1,220,43,0,0,238,220,220,12,43,12,220,41,12,220,1,12,14,220,0,1,39,220,14,43,12,37,57,0,12,39,22,12,220,43,0,52,220,12,41,12,0,2,-1,0,0,23,49,1772,98,98,0,14,12,0,1,0,85,0,89,0,0,0
0,1,30,231,0,0,220,234,30,220,30,220,234,30,220,45,1,220,13,45,0,1,30,30,13,231,220,30,220,0,220,231,7,220,234,30,0,220,45,220,30,220,0,0,-1,0,0,262,135,1370,51,46,0,13,13,0,0,0,97,0,262,3,0,0
0,1,12,30,0,0,25,12,12,25,129,220,12,231,220,12,1,220,13,12,0,1,0,12,13,30,25,231,25,0,220,29,0,220,12,94,0,25,12,220,231,25,0,1,-1,0,0,265,135,1371,92,7,0,13,13,0,0,0,99,0,265,0,0,0
0,1,12,84,0,0,25,12,12,25,251,220,12,83,220,12,1,220,13,12,0,1,230,12,13,251,25,232,25,0,220,230,7,220,12,84,0,25,12,220,253,25,0,2,-1,0,0,265,135,1773,89,89,0,13,13,0,0,0,98,0,265,0,0,0
0,1,227,55,0,0,220,224,227,220,43,12,224,45,12,41,1,12,13,41,0,1,37,227,13,43,220,39,220,0,12,37,7,12,224,55,0,220,41,12,39,220,0,3,-1,0,0,262,135,3334,96,96,0,13,13,0,0,0,99,0,262,3,0,0
0,1,30,227,0,0,220,220,220,220,26,220,234,231,12,45,0,12,13,220,0,1,202,220,13,227,220,231,220,0,220,227,0,220,220,55,0,220,220,12,231,220,0,0,-1,0,0,262,135,635,92,6,0,13,14,0,1,0,93,0,262,0,0,1
0,1,30,185,0,0,33,28,30,99,226,220,28,185,220,77,0,220,13,77,0,1,226,30,13,160,41,126,41,0,220,127,7,220,28,226,0,99,77,220,160,33,0,1,-1,0,0,265,135,636,78,18,0,13,14,0,1,0,93,1,265,0,0,1
0,1,220,151,0,0,220,220,220,220,98,12,220,150,12,220,0,12,13,220,0,1,8,220,13,43,220,23,220,0,12,23,7,12,220,229,0,220,220,12,42,220,0,2,-1,0,0,262,135,3999,85,12,0,13,14,0,1,0,97,0,262,0,0,0
0,1,220,110,0,0,220,220,220,220,53,12,220,72,12,220,0,12,13,220,0,1,46,220,13,122,220,45,220,0,12,201,0,12,220,72,0,220,220,12,53,220,0,3,-1,0,0,262,135,7211,83,11,0,13,14,0,1,0,94,0,262,0,0,1
0,1,0,144,0,0,220,197,0,220,231,220,197,231,220,46,1,220,14,46,0,1,230,0,0,96,220,231,220,0,220,22,0,220,197,231,0,220,46,220,231,220,0,0,-1,0,0,23,49,637,60,34,0,14,15,0,1,0,94,1,89,0,0,0
0,1,114,44,0,0,220,144,114,220,30,220,144,30,220,75,1,220,14,75,0,1,30,114,0,31,220,30,220,0,220,197,0,220,144,30,0,220,75,220,30,220,0,1,-1,0,0,23,49,638,62,34,0,14,15,0,1,0,94,0,89,0,0,0
0,1,220,77,0,0,220,12,12,12,122,12,220,77,220,220,1,220,14,12,0,1,222,12,0,58,12,33,220,0,12,34,0,12,12,164,0,220,12,220,58,12,0,2,-1,0,0,23,49,4388,94,5,0,14,15,0,1,0,99,1,89,0,0,0
0,1,0,228,0,0,220,12,12,220,15,220,235,26,220,41,1,220,14,12,0,1,176,12,14,228,220,26,220,0,220,229,7,220,12,43,0,220,12,220,26,220,0,0,-1,0,0,23,49,639,76,20,0,14,17,0,1,0,96,0,89,0,0,0
0,1,220,230,0,0,220,12,12,12,230,12,220,135,220,220,1,220,14,12,0,1,230,12,14,230,12,0,220,0,12,230,7,12,12,230,0,220,12,220,139,12,0,1,-1,0,0,23,49,640,97,97,0,14,17,0,1,0,96,1,89,0,0,0
0,1,220,23,0,0,238,220,220,12,29,12,220,26,12,220,1,12,14,220,0,1,29,220,14,178,12,26,57,0,12,251,7,12,220,29,0,52,220,12,26,12,0,2,-1,0,0,23,49,4676,85,9,0,14,17,0,1,0,96,0,89,0,0,0
0,1,30,212,0,0,33,28,30,99,247,220,28,250,220,77,1,220,13,77,0,1,247,30,13,211,41,249,41,0,220,211,0,220,28,247,0,99,77,220,249,33,0,0,-1,0,0,265,135,1372,56,36,0,13,18,0,0,0,85,1,265,7,0,1
0,1,220,65,0,0,220,220,220,220,50,12,220,64,12,220,1,12,13,220,0,1,48,220,13,50,220,48,220,0,12,48,10,12,220,65,0,220,220,12,50,220,0,1,-1,0,0,262,135,1373,95,95,0,13,18,0,0,0,99,0,262,0,0,1
0,1,12,235,0,0,25,12,12,25,196,220,12,236,220,12,1,220,13,12,0,1,120,12,13,196,25,120,25,0,220,120,0,220,12,235,0,25,12,220,196,25,0,2,-1,0,0,265,135,1774,99,99,0,13,18,0,0,0,100,0,265,7,0,0
0,1,12,26,0,0,25,12,12,25,112,220,12,115,220,12,1,220,13,12,0,1,123,12,13,22,25,127,25,0,220,20,0,220,12,112,0,25,12,220,115,25,0,3,-1,0,0,265,135,3214,84,14,0,13,18,0,0,0,77,0,265,0,0,1
0,1,220,210,0,0,220,220,220,220,41,12,220,62,12,220,1,12,13,220,0,1,119,220,13,182,220,120,220,0,12,161,0,12,220,61,0,220,220,12,41,220,0,0,-1,0,0,262,135,1374,73,24,0,13,19,0,1,0,99,0,262,0,0,0
0,1,12,61,0,0,25,12,12,25,231,220,12,231,220,12,1,220,13,12,0,1,231,12,13,41,25,231,25,0,220,119,0,220,12,231,0,25,12,220,231,25,0,1,-1,0,0,265,135,1375,88,10,0,13,19,0,1,0,99,0,265,0,0,0
0,1,12,59,0,0,25,12,12,25,167,220,12,58,220,12,1,220,13,12,0,1,49,12,13,106,25,0,25,0,220,0,0,220,12,79,0,25,12,220,105,25,0,2,-1,0,0,262,135,1775,74,20,0,13,19,0,1,0,89,0,262,0,0,0
0,1,220,96,0,0,220,220,220,220,56,12,220,127,12,220,1,12,13,220,0,1,35,220,13,56,220,34,220,0,12,35,19,12,220,96,0,220,220,12,62,220,0,3,-1,0,0,262,135,5759,95,95,0,13,19,0,1,0,99,0,262,0,0,0
0,1,220,49,0,0,220,198,38,220,227,50,220,50,220,220,0,220,800019,50,0,1,227,38,0,37,220,199,220,0,198,196,0,38,198,227,0,220,50,220,38,220,0,0,-1,0,0,272,129,1376,68,29,0,0,21,0,0,0,98,1,272,0,0,0
0,1,17,142,0,0,41,94,17,102,30,102,94,30,17,102,0,94,800019,102,0,1,30,17,0,62,17,30,205,0,94,134,19,17,94,30,0,123,102,102,30,94,0,1,-1,0,0,272,129,1377,90,7,0,0,21,0,0,0,96,0,272,0,0,0
0,1,220,30,0,0,12,220,220,220,190,220,220,74,220,220,0,220,800019,220,0,1,146,220,0,30,220,145,12,0,220,30,7,220,220,75,0,12,220,220,189,220,0,2,-1,0,0,272,129,1378,89,7,0,0,21,0,0,0,95,0,272,0,0,0
0,1,244,222,0,0,83,83,46,231,235,231,245,54,46,231,0,83,800019,55,0,1,236,46,0,235,244,83,46,0,245,236,7,244,83,222,0,55,55,55,46,245,0,3,-1,0,0,272,129,1379,96,96,0,0,21,0,0,0,97,1,272,0,0,0
0,1,202,17,0,0,240,12,12,4,187,4,240,24,12,4,0,12,19,12,0,1,231,12,19,25,202,24,202,0,240,25,0,202,12,11,0,4,12,12,24,240,0,0,-1,0,0,209,1,1380,74,22,0,100,22,0,0,0,99,0,209,0,0,0
0,1,202,53,0,0,240,240,202,4,14,4,240,24,12,4,0,12,19,4,0,1,14,202,19,53,202,24,202,0,240,54,0,202,240,14,0,4,4,12,24,240,0,1,-1,0,0,209,1,1381,83,9,0,100,22,0,0,0,99,0,209,0,0,0
0,1,193,135,0,0,193,193,193,124,82,124,193,102,12,124,0,12,19,124,0,1,101,193,19,35,193,97,193,0,193,228,7,193,193,106,0,124,124,12,78,193,0,2,-1,0,0,209,1,1776,84,11,0,100,22,0,0,0,88,0,209,0,0,0
0,1,12,6,0,0,240,12,12,12,184,12,12,12,12,12,0,12,19,12,0,1,226,12,19,140,12,231,202,0,12,167,8,12,12,9,0,4,12,12,186,12,0,3,-1,0,0,209,1,1777,72,12,0,100,22,0,0,0,99,0,209,0,0,0
0,1,12,231,0,0,220,12,12,12,231,12,12,231,12,12,0,12,19,12,0,1,231,12,19,231,12,231,220,0,12,231,8,12,12,231,0,220,12,12,231,12,0,0,-1,0,0,240,126,1382,91,91,0,0,23,0,0,0,83,1,240,0,0,0
0,1,220,30,0,0,12,220,220,220,132,220,220,93,220,220,0,220,19,220,0,1,0,220,19,30,220,0,12,0,220,30,7,220,220,94,0,12,220,220,131,220,0,1,-1,0,0,240,126,1383,80,17,0,0,23,0,0,0,88,0,240,0,0,0
0,1,220,135,0,0,12,220,220,220,82,220,220,102,220,220,0,220,19,220,0,1,100,220,19,35,220,97,12,0,220,228,7,220,220,105,0,12,220,220,78,220,0,2,-1,0,0,240,126,1778,86,11,0,0,23,0,0,0,88,0,240,0,0,0
0,1,220,231,0,0,12,220,220,220,30,220,220,29,220,220,0,220,19,220,0,1,30,220,19,231,220,29,12,0,220,231,0,220,220,30,0,12,220,220,29,220,0,3,-1,0,0,240,126,3681,70,28,0,0,23,0,0,0,99,0,240,0,0,0
0,1,220,232,0,0,12,220,220,12,39,220,220,18,220,220,0,220,19,220,0,1,201,220,0,232,12,202,12,0,220,232,0,220,220,18,0,12,220,220,40,12,0,0,-1,0,0,144,12,641,76,20,0,0,25,0,0,0,100,0,144,0,0,0
0,1,220,165,0,0,12,220,220,12,30,220,220,30,220,220,0,220,19,220,0,1,30,220,0,154,12,30,12,0,220,142,0,220,220,30,0,12,220,220,30,12,0,1,-1,0,0,144,12,4714,76,20,0,0,25,0,0,0,100,0,144,0,0,0
0,1,12,119,0,0,12,12,12,12,219,12,12,88,12,12,0,12,19,12,0,1,206,12,0,219,12,199,12,0,12,206,0,12,12,119,0,12,12,12,215,12,0,2,-1,0,0,144,12,4688,97,97,0,0,25,0,0,0,99,1,144,0,0,0
0,1,12,231,0,0,220,12,12,12,231,12,12,231,12,12,0,12,19,12,0,1,231,12,0,231,12,231,220,0,12,231,0,12,12,231,0,220,12,12,231,12,0,3,-1,0,0,144,12,642,95,95,0,0,25,0,0,0,99,0,144,0,0,0
0,1,111,232,0,0,220,220,220,186,96,186,0,232,220,186,0,220,20,220,0,1,16,220,0,231,111,232,220,0,0,231,7,111,220,176,0,220,220,220,232,0,0,0,-1,0,0,1,6,643,75,21,0,0,27,0,0,0,98,1,1,0,0,0
0,1,220,175,0,0,12,12,68,220,231,220,220,187,68,220,0,12,20,163,0,1,231,68,0,102,220,0,68,0,220,0,7,220,12,231,0,163,163,163,112,220,0,1,-1,0,0,1,6,644,92,5,0,0,27,0,0,0,100,1,1,0,0,0
0,1,220,53,0,0,220,220,220,220,82,220,220,94,220,220,0,220,20,220,0,1,70,220,0,48,220,75,220,0,220,41,7,220,220,89,0,220,220,220,87,220,0,2,-1,0,0,1,6,4750,83,14,0,0,27,0,0,0,100,0,1,0,0,0
0,1,220,31,0,0,48,48,74,220,231,220,220,34,74,220,0,48,20,129,0,1,231,74,0,30,220,183,74,0,220,30,0,220,48,231,0,129,129,129,34,220,0,0,-1,0,0,12,10,1384,64,17,0,0,28,0,0,0,94,0,12,0,0,1
0,1,220,72,0,0,12,12,12,220,186,220,220,81,12,220,0,12,20,12,0,1,165,12,0,50,220,42,12,0,220,40,7,220,12,224,0,12,12,12,54,220,0,1,-1,0,0,12,10,1385,85,8,0,0,28,0,0,0,94,1,12,0,0,1
0,1,12,48,0,0,12,12,12,12,208,12,12,16,12,12,0,12,20,12,0,1,232,12,0,39,12,230,12,0,12,65,7,12,12,16,0,12,12,12,207,12,0,2,-1,0,0,12,10,1779,85,11,0,0,28,0,0,0,97,1,12,0,0,0
0,1,220,43,0,0,220,220,220,220,34,220,220,63,220,220,0,220,20,220,0,1,179,220,0,34,220,143,220,0,220,179,7,220,220,43,0,220,220,220,36,220,0,0,-1,0,0,232,1,645,97,97,0,100,29,0,1,0,100,0,232,0,0,0
0,1,220,31,0,0,220,220,220,220,31,220,220,30,220,220,0,220,20,220,0,1,32,220,0,31,220,30,220,0,220,32,0,220,220,31,0,220,220,220,30,220,0,1,-1,0,0,232,1,4070,97,97,0,100,29,0,1,0,100,0,232,0,0,0
0,1,12,64,0,0,12,12,12,12,217,12,12,85,12,12,0,12,20,12,0,1,238,12,0,172,12,238,12,0,12,225,7,12,12,85,0,12,12,12,216,12,0,2,-1,0,0,232,1,4354,69,27,0,100,29,0,1,0,99,1,232,0,0,0
0,1,6,238,0,0,227,227,6,19,238,19,227,238,6,19,0,227,19,19,0,1,238,6,19,238,6,238,6,0,227,238,7,6,227,238,0,19,19,19,238,227,0,0,-1,0,0,1,1,647,95,95,0,100,31,0,0,0,94,1,1,0,0,0
0,1,220,44,0,0,220,220,220,220,32,220,220,37,220,220,0,220,19,220,0,1,193,220,19,32,220,221,220,0,220,193,0,220,220,44,0,220,220,220,35,220,0,1,-1,0,0,1,1,648,97,97,0,100,31,0,0,0,97,0,1,0,0,0
0,1,220,23,0,0,220,220,220,220,23,220,220,29,220,220,0,220,19,220,0,1,23,220,19,23,220,29,220,0,220,23,0,220,220,23,0,220,220,220,29,220,0,2,-1,0,0,1,1,3992,82,82,0,100,31,0,0,0,97,0,1,0,0,0
0,1,220,212,0,0,255,220,220,0,181,0,220,214,0,220,0,255,19,220,0,1,145,220,19,181,0,146,0,0,255,145,7,0,220,212,0,0,220,0,182,255,0,3,-1,0,0,1,1,3940,92,92,0,100,31,0,0,0,93,1,1,0,0,0
0,1,40,64,0,0,12,183,40,55,40,55,183,46,12,55,0,12,19,55,0,1,39,40,0,48,40,39,12,0,183,194,0,40,183,46,0,12,55,12,40,183,0,0,-1,0,0,109,60,1386,88,10,0,76,32,0,0,0,100,0,109,0,0,0
0,1,12,30,0,0,220,12,12,12,231,12,12,231,220,12,0,220,19,12,0,1,231,12,0,30,12,231,220,0,12,30,2,12,12,231,0,220,12,220,231,12,0,1,-1,0,0,109,60,1387,86,10,0,76,32,0,0,0,99,1,109,0,0,0
0,1,12,29,0,0,220,12,12,12,182,12,12,69,220,12,0,220,19,12,0,1,118,12,0,30,12,126,220,0,12,30,0,12,12,68,0,220,12,220,195,12,0,2,-1,0,0,109,60,1780,90,8,0,76,32,0,0,0,97,1,109,0,0,0
