firstname,surname,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,cardstrictness,shoecolorcode2,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,socklengthcode,weight,gender,headassetid,faceposerpreset,eyebrowcode,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,nationalitycode,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Paweł,Grygorski,2,0,0,84,2,31,2510,1,180,66,315,146587,4,74,0,27084,0,0,7,0,0,0,0,0,3,0,500,188444,37,0,30,0,2,0
Esben,Schjønberg,2,3,0,150,0,31,1512,2,172,1,315,146600,4,77,0,27108,3,0,6,0,0,0,0,0,2,0,500,188446,13,0,30,0,3,3
Jean,Rabault,0,6,0,37,0,31,2012,1,183,17,315,146600,4,71,0,27099,0,0,5,0,0,0,0,0,2,0,500,188448,18,0,30,0,1,6
Fabrice,Madoulet,51,0,0,1,2,31,4502,2,177,17,315,146600,4,85,0,27050,4,2,9,0,0,0,0,0,9,0,500,188449,18,0,30,0,3,0
Dietmar,Schönlebe,51,5,0,277,2,31,24,1,180,2076,315,146600,4,78,0,27067,0,0,2,0,0,0,0,0,3,0,500,188451,21,0,30,0,2,3
Vitor,Secretario,2,0,0,144,1,31,1,2,180,308,315,144877,4,70,0,27085,4,1,4,0,0,0,0,0,3,0,500,188452,38,0,30,0,2,0
Steffen,Schwurbel,0,1,0,64,2,31,2002,1,179,2076,315,146600,4,70,0,27078,4,1,5,0,0,0,0,0,1,0,500,188455,21,0,30,0,1,1
Jasper,de Waart,2,0,0,129,1,31,2016,1,172,10,315,144814,4,70,0,27036,4,0,10,0,0,0,0,0,2,0,500,188457,34,0,30,0,2,0
Torjus,Løken,2,5,0,102,0,31,2,1,185,41,315,146600,4,73,0,27081,0,0,4,0,0,0,0,0,5,0,500,188461,36,0,30,0,4,6
Njål,Flaten,2,1,0,92,1,31,18,2,172,41,315,146600,4,75,0,27067,0,0,2,0,0,0,0,0,3,0,500,188462,36,0,30,0,3,1
Guilherme,Santoso,2,0,10,37,1,31,2505,1,175,308,315,146600,4,70,0,27080,0,0,4,0,0,0,0,0,4,0,500,188465,38,0,30,0,2,0
Ignacio,Muñiz Villate,51,0,0,65,2,31,1505,2,179,54,315,146600,4,84,0,27073,3,0,3,0,0,0,0,0,3,0,500,188474,45,0,30,0,3,0
Ludvig,Walfridsson,0,6,4,129,1,31,20,0,180,56,315,146814,4,76,0,27112,0,0,5,0,0,0,0,0,2,0,500,188475,46,0,30,0,2,3
Kristoffer,Frohlander,1,5,0,16,1,31,8,1,182,56,315,146600,4,70,0,27071,0,0,2,0,0,0,0,0,2,0,500,188476,46,0,30,0,1,1
Henry,McDillon,51,6,0,75,1,31,3505,2,178,65,315,141597,4,73,0,27083,0,0,1,0,0,0,0,0,2,0,500,209677,25,0,30,0,2,6
Conor,O'Connelly,2,3,0,37,1,31,2016,0,177,65,315,142583,4,72,0,27071,0,0,2,0,0,0,0,0,2,0,500,209678,25,0,30,0,2,0
Sheamus,McArthur,51,7,0,29,2,31,13,1,180,65,315,142920,4,78,0,27067,0,1,2,0,0,0,0,0,3,0,500,209679,25,0,30,0,2,7
Fedder,Gotthard,1,3,8,39,1,31,4001,1,187,80,315,144078,4,81,0,27092,3,1,5,0,0,0,0,0,2,0,500,209683,4,0,30,0,5,3
Lutz,Gersthofer,51,2,8,65,0,31,2003,1,174,80,315,142288,4,75,0,27082,4,0,2,0,0,0,0,0,2,0,500,209684,4,0,30,0,3,1
Heribert,Allmaier,51,3,12,92,1,31,1501,2,189,80,315,141043,4,77,0,27067,0,0,2,0,0,0,0,0,3,0,500,209685,4,0,30,0,4,3
Harald,Fimmler,1,7,0,42,1,31,2000,0,179,19,315,145614,4,77,0,27081,0,0,4,0,0,0,0,0,5,0,500,209686,21,0,30,0,2,7
Jascha,Zurheide,2,2,0,155,0,31,3500,1,182,19,315,144318,4,75,0,27112,0,0,5,0,0,0,0,0,2,0,500,209687,21,0,30,0,2,6
Rafael,Ruibal Losada,51,0,12,57,0,31,2004,1,181,54,315,145477,4,76,0,27079,4,0,9,0,0,0,0,0,5,0,500,209689,45,0,30,0,1,0
Ansgar,von Hauenstein,51,9,3,93,1,31,37,2,192,19,315,143329,4,83,0,27074,3,2,2,0,0,0,0,0,3,0,500,209690,21,0,30,0,4,0
Daniel,Soengas Bello,51,0,17,150,1,31,0,2,177,53,315,146212,4,82,0,27051,0,1,3,0,0,0,0,0,4,0,500,209692,45,0,30,0,3,0
Álvaro,Arias Romera,51,0,8,118,1,31,7,1,179,53,315,144890,4,76,0,27085,4,0,4,0,0,0,0,0,3,0,500,209693,45,0,30,0,2,0
Federico,Ramos Navarro,2,0,6,115,1,31,2010,2,172,54,315,145689,4,70,0,27077,0,0,4,0,0,0,0,0,4,0,500,209694,45,0,30,0,2,0
Laurent,Glaisyer,2,5,0,115,1,31,2022,1,183,189,315,143367,4,76,0,27085,4,0,4,0,0,0,0,0,3,0,500,209712,47,0,30,0,2,6
Dario,Nuessli,51,0,0,119,0,31,528,0,178,189,315,142778,4,71,0,27051,0,1,3,0,0,0,0,0,4,0,500,209714,47,0,30,0,2,0
Eufemio,Lafranchi,2,3,0,147,1,31,1517,0,186,189,315,144050,4,76,0,27109,0,0,3,0,0,0,0,0,3,0,500,209716,47,0,30,0,4,3
Gwidon,Pietrzykowski,51,3,3,0,0,31,0,1,187,66,315,141500,4,79,0,27112,0,0,5,0,0,0,0,0,2,0,500,209777,37,0,30,0,5,3
Nikodem,Dworaczyk,51,0,6,77,1,31,22,1,174,66,315,139435,4,80,0,27112,0,0,5,0,0,0,0,0,2,0,500,209778,37,0,30,0,3,0
Kasper,Krosby,2,3,6,83,1,31,12,2,186,56,315,143466,4,83,0,27083,0,0,1,0,0,0,0,0,2,0,500,209788,46,0,30,0,5,0
Pontus,Ortendhal,51,5,8,0,0,31,18,1,184,56,315,142602,4,70,0,27110,0,1,7,0,0,0,0,0,2,0,500,209790,46,0,30,0,1,0
Sven,Solomonsson,1,1,0,154,2,31,6,1,176,56,315,144151,4,68,0,27067,0,6,2,0,0,0,0,0,3,0,500,209791,46,0,30,0,2,1
Graham,Boverick,2,0,0,104,0,31,2027,2,185,351,315,144978,4,80,0,27092,3,0,5,0,0,0,0,0,2,0,500,209792,195,0,30,0,5,0
Pat,Framlow,2,3,4,74,1,31,3505,1,177,351,315,144763,4,73,0,27081,0,1,4,0,0,0,0,0,5,0,500,209793,195,0,30,0,2,0
Josh,Brithwell,2,2,6,43,2,31,1517,0,178,351,315,142142,4,68,0,27112,0,2,5,0,0,0,0,0,2,0,500,209794,195,0,30,0,2,6
Buk-Chol,Choi,1,0,0,115,1,31,519,1,170,83,315,144100,4,72,0,27115,3,0,9,0,0,0,0,0,3,0,500,209808,167,0,30,0,8,0
Yoon-Fang,Lee,1,0,0,137,0,31,522,0,178,83,315,140217,4,71,0,27111,4,0,9,0,0,0,0,0,2,0,500,209809,167,0,30,0,1,0
Sébastien,Mittré,2,3,0,115,0,31,2010,0,178,16,315,143061,4,74,0,27080,0,0,4,0,0,0,0,0,4,0,500,209821,18,0,30,0,2,3
Jean-Daniel,Lacagne,2,6,0,65,1,31,1511,2,183,17,315,142555,4,71,0,27081,0,0,4,0,0,0,0,0,5,0,500,209822,18,0,30,0,1,6
Andriy,Markinov,2,1,7,37,1,31,1,1,184,319,315,143915,4,77,0,27093,0,1,4,0,0,0,0,0,3,0,500,209823,40,0,30,0,2,1
Alexey,Potrepkin,2,2,0,29,1,31,2005,1,177,319,315,145045,4,77,0,27084,0,0,7,0,0,0,0,0,3,0,500,209825,40,0,30,0,3,6
Vladimir,Sorpionov,2,5,6,112,1,31,19,1,184,319,315,142675,4,79,0,27112,0,2,5,0,0,0,0,0,2,0,500,209826,40,0,30,0,2,6
Roald,Wikborg,2,0,0,8,1,31,2000,0,178,41,315,143353,4,66,0,27080,0,0,4,0,0,0,0,0,4,0,500,209847,36,0,30,0,1,0
Lukas,Papwick,0,1,5,122,1,31,2000,1,169,13,315,143894,4,66,0,27074,3,0,2,0,0,0,0,0,3,0,500,209867,14,0,30,0,7,1
Ramsey,Doel,51,6,4,37,1,15,2012,1,175,13,1,143058,4,73,0,27109,0,2,3,0,0,0,0,0,3,0,500,209870,14,0,0,0,2,6
Austen,Bayliffe,2,9,0,17,1,31,10,1,181,13,315,145021,4,77,0,27092,3,1,5,0,0,0,0,0,2,0,500,209882,95,0,30,0,2,1
Gavin,Monksfield,0,3,0,138,1,31,4001,1,183,60,315,147399,4,69,0,27082,4,0,2,0,0,0,0,0,2,0,500,209883,25,0,30,0,1,3
Laurits,Tyllesen,2,0,6,75,1,31,3501,1,177,1,315,143578,4,73,0,27081,0,0,4,0,0,0,0,0,5,0,500,209891,13,0,30,0,2,0
Afonso,Masarenhas,2,0,6,61,0,31,2507,1,189,308,315,143199,4,83,0,27079,4,1,9,0,0,0,0,0,5,0,500,209897,38,0,30,0,5,0
Arcibaldo,Pombal,2,0,0,16,1,31,2505,0,179,308,315,144700,4,67,0,27073,3,0,3,0,0,0,0,0,3,0,500,209899,38,0,30,0,1,0
Baptiste,Alacoque,2,6,8,65,1,31,1509,1,191,16,315,143665,4,84,0,27085,4,0,4,0,0,0,0,0,3,0,500,209902,18,0,30,0,5,6
Philippe,Daboussier,0,3,3,57,2,31,2019,1,184,17,315,146020,4,72,0,27074,3,0,2,0,0,0,0,0,3,0,500,209904,18,0,30,0,1,3
Viggo,Toksvig,2,3,7,111,2,31,18,0,179,1,315,144041,4,78,0,27036,4,1,10,0,0,0,0,0,2,0,500,209913,13,0,30,0,2,3
Klemens,Pilegaard,51,2,0,25,1,31,25,0,187,1,315,141960,4,82,0,27110,0,2,7,0,0,0,0,0,2,0,500,209914,13,0,30,0,5,1
Ian,Lowcroft,51,0,5,2,0,31,1005,1,185,60,315,143073,4,84,0,27076,3,0,9,0,0,0,0,0,9,0,500,209923,14,0,30,0,6,0
Grant,Lindum,2,6,6,135,2,31,16,1,183,60,315,145037,4,79,0,27099,0,0,5,0,0,0,0,0,2,0,500,209926,14,0,30,0,2,6
Gianluca,Del Tarano,2,3,12,119,1,31,2027,1,180,31,315,144452,4,72,0,27092,3,1,5,0,0,0,0,0,2,0,500,209927,27,0,30,0,1,3
Filippo,Giacoletti,2,3,0,115,2,31,1,1,176,31,315,145043,4,69,0,27072,4,1,3,0,0,0,0,0,3,0,500,209928,27,0,30,0,1,3
Ashley,Boroughbridge,2,1,0,98,0,31,2518,0,182,60,315,146254,4,69,0,27080,0,0,4,0,0,0,0,0,4,0,500,209931,42,0,30,0,2,3
Liam,Keymer,2,0,0,21,1,15,2508,1,177,60,1,140177,4,72,0,27081,0,1,4,0,0,0,0,0,5,0,500,209932,14,0,0,0,2,0
Gijsbert,Declerck,2,1,0,119,2,31,4,1,185,4,315,142450,4,77,0,27071,0,0,2,0,0,0,0,0,2,0,500,209938,7,0,30,0,5,1
Jochem,Van Vosselen,1,12,0,102,1,31,25,2,175,4,315,141224,4,72,0,27092,3,2,5,0,0,0,0,0,2,0,500,209939,7,0,30,0,3,7
Siem,Decauwer,0,0,17,13,0,31,529,1,188,4,315,145198,4,74,0,27085,4,1,4,0,0,0,0,0,3,0,500,209940,7,0,30,0,4,0
Joep,Druppers,2,3,4,44,2,31,1,1,182,10,315,144339,4,80,0,27083,0,1,1,0,0,0,0,0,2,0,500,209941,34,0,30,0,3,3
Luuk,Hoebacke,2,6,0,29,1,31,2515,0,191,10,315,142161,4,85,0,27072,4,1,3,0,0,0,0,0,3,0,500,209942,34,0,30,0,5,3
Pim,van Tilburgh,2,0,0,70,0,31,508,1,179,10,315,143762,4,69,0,27074,3,0,2,0,0,0,0,0,3,0,500,209943,34,0,30,0,1,0
Fuad,Al-Rishani,1,0,3,16,1,31,2510,0,174,350,315,140895,4,62,0,27109,0,1,3,0,0,0,0,0,3,0,500,209944,183,0,30,0,1,0
Abdulmajeed,Al-Reshedi,1,0,0,22,1,31,2517,1,183,350,315,145871,4,78,0,27106,0,0,3,0,0,0,0,0,4,0,500,209945,183,0,30,0,2,0
Mazhar,Al-Amur,51,0,6,90,0,31,2504,1,172,350,315,143800,4,65,0,27093,0,1,4,0,0,0,0,0,3,0,500,209946,183,0,30,0,2,0
Alvaro,Aldgate,1,3,0,8,1,31,1509,1,177,39,315,145627,4,73,0,27037,3,1,3,0,0,0,0,0,5,0,500,210589,95,0,30,0,3,3
Wilson,Mountland,51,2,0,92,0,31,2014,1,182,39,315,144606,4,71,0,27074,3,2,2,0,0,0,0,0,3,0,500,210590,95,0,30,0,1,1
Jefferson,Robertford,2,0,3,119,1,31,4005,0,175,39,315,141639,4,82,0,27110,0,0,7,0,0,0,0,0,2,0,500,210594,95,0,30,0,3,0
Oliver Benito,Ledesma,0,3,4,149,1,31,1512,2,174,353,315,144751,4,71,0,27077,0,2,4,0,0,0,0,0,4,0,500,214502,52,0,30,0,2,0
Gabriel,Santiseban,2,0,3,114,1,31,1516,1,175,353,315,144752,4,75,0,27072,4,1,3,0,0,0,0,0,3,0,500,214865,52,0,30,0,3,0
Jerónimo,Santarelli,1,0,6,156,2,31,2500,1,183,353,315,144250,4,75,0,27073,3,0,3,0,0,0,0,0,3,0,500,214866,52,0,30,0,2,0
Maximiliano,Recobedo,2,0,0,119,1,31,528,2,178,353,315,144568,4,75,0,27077,0,2,4,0,0,0,0,0,4,0,500,214867,52,0,30,0,2,0
Yusri,Kao,51,0,0,111,1,31,509,1,176,76,315,141224,4,73,0,27029,1,0,9,0,0,0,0,0,4,0,500,221033,184,0,30,0,1,0
Dawud,Al-Habash,2,0,4,29,1,31,2506,1,174,76,315,144659,4,76,0,27093,0,1,4,0,0,0,0,0,3,0,500,221034,150,0,30,0,1,0
Shahzad,Abu Shakra,51,0,4,114,1,31,1518,1,177,76,315,142525,4,80,0,27106,0,0,3,0,0,0,0,0,4,0,500,221035,182,0,30,0,1,0
Hoo-gwo,Xiang,1,0,0,128,1,31,519,1,167,2012,315,144247,4,62,0,27030,4,0,9,0,0,0,0,0,3,0,500,221037,155,0,30,0,3,0
Azlan,Hamberi,1,0,0,105,0,31,538,0,176,76,315,144772,4,72,0,27115,3,0,9,0,0,0,0,0,3,0,500,221045,173,0,30,0,1,0
Lamon,Darawan,2,0,0,16,0,31,543,1,177,76,315,144700,4,73,0,27113,4,1,3,0,0,0,0,0,4,0,500,221047,188,0,30,0,3,0
Radovan,Palenković,51,0,6,85,1,31,2000,1,197,80,315,141294,4,92,0,27073,3,1,3,0,0,0,0,0,3,0,500,221049,51,0,30,0,5,0
Matthew,Mzizi,51,0,0,28,1,31,1009,2,181,76,315,143781,4,82,0,27070,3,0,9,0,0,0,0,0,7,0,500,221100,140,0,30,0,2,0
Vyacheslav,Bondartchuk,2,3,4,66,1,31,1503,1,177,76,315,144289,4,77,0,27112,0,1,5,0,0,0,0,0,2,0,500,221118,49,0,30,0,2,6
Leonidas,Lambrakis,51,0,0,103,1,31,2517,1,181,63,315,142340,4,77,0,27051,0,1,3,0,0,0,0,0,4,0,500,221119,22,0,30,0,2,0
Regis,Graver,1,0,0,280,1,31,1007,2,185,60,315,143541,4,84,0,27068,2,0,3,0,0,0,0,0,8,0,500,221153,148,0,30,0,5,0
Enis,Balbay,2,0,7,30,1,31,2511,1,177,68,315,143943,4,72,0,27092,3,0,5,0,0,0,0,0,2,0,500,222948,48,0,30,0,2,0
Feridun,Doğançay,2,0,0,142,1,31,1520,2,184,68,315,144535,4,77,0,27109,0,1,3,0,0,0,0,0,3,0,500,222949,48,0,30,0,1,0
Anna,Poltavkina,100,1,0,520,1,31,7501,1,172,2228,315,147188,4,61,1,226904,0,4,2,0,1,0,0,0,1,0,500,226904,40,0,30,0,2,6
Mălin,Butacu,2,0,6,149,1,31,1518,2,178,330,315,141686,4,72,0,27084,0,1,7,0,0,0,0,0,3,0,500,237579,39,0,30,0,2,0
Zamfir,Izbașa,51,0,6,188,1,31,22,1,181,330,315,142603,4,74,0,27108,3,0,6,0,0,0,0,0,2,0,500,237583,39,0,30,0,2,0
Iacob,Săulescu,2,0,0,40,1,31,9,2,174,330,315,143130,4,68,0,27078,4,0,5,0,0,0,0,0,1,0,500,237584,39,0,30,0,2,3
Dragoș,Tismăneanu,2,6,0,16,1,31,4003,1,177,330,315,141862,4,70,0,27112,0,0,5,0,0,0,0,0,2,0,500,237585,39,0,30,0,1,6
Hussain,Al-Shamkali,1,0,4,77,1,31,1526,1,185,350,315,146388,4,76,0,27108,3,2,6,0,0,0,0,0,2,0,500,241366,183,0,30,0,5,0
Nazario,Dasmarinas,51,3,0,29,2,31,1509,1,182,308,315,144866,4,74,0,27037,3,0,3,0,0,0,0,0,5,0,500,241367,38,0,30,0,2,3
Ludger,Falck,1,5,0,290,2,31,16,1,180,80,315,146600,4,78,0,27110,0,0,7,0,0,0,0,0,2,0,500,241369,4,0,30,0,2,6
Flemming,Fredskild,2,1,0,117,0,31,2016,1,188,1,315,146600,4,81,0,27071,0,0,2,0,0,0,0,0,2,0,500,241370,13,0,30,0,5,1
Adrian,Gløersen,2,6,3,57,0,31,3502,1,185,41,315,144643,4,83,0,27036,4,0,10,0,0,0,0,0,2,0,500,241371,36,0,30,0,5,6
Albin,Kuniak,51,0,6,105,1,31,529,0,181,66,315,142819,4,70,0,27071,0,0,2,0,0,0,0,0,2,0,500,241372,37,0,30,0,2,0
Thorvald,Oedegaard,2,6,4,77,1,31,22,2,185,41,315,143047,4,86,0,27085,4,1,4,0,0,0,0,0,3,0,500,241373,36,0,30,0,6,6
An-Jol,Park,1,0,0,121,0,31,510,1,177,83,315,142914,4,74,0,27028,0,0,9,0,0,0,0,0,4,0,500,241374,167,0,30,0,2,0
Hai-wang,Sui,1,0,0,102,1,31,554,0,176,2012,315,142085,4,73,0,27029,1,0,9,0,0,0,0,0,4,0,500,241503,155,0,30,0,1,0
Zhi-xiang,Qun,1,0,0,143,1,31,540,2,174,2012,315,144105,4,70,0,27031,3,0,9,0,0,0,0,0,5,0,500,241504,155,0,30,0,2,0
Stefan,Häsenecker,2,0,0,65,0,31,7,1,184,189,315,144184,4,78,0,27082,4,0,2,0,0,0,0,0,2,0,500,243325,47,0,30,0,2,0
Joel,Highett,2,2,0,114,0,31,4003,1,178,351,315,145248,4,76,0,27036,4,6,10,0,0,0,0,0,2,0,500,243326,195,0,30,0,2,3
Alvaro Joaquín,Florez,2,3,4,57,2,31,2517,2,181,353,315,143540,4,82,0,27074,3,1,2,0,0,0,0,0,3,0,500,243327,52,0,30,0,3,0
Gang-sheng,Bai,51,0,0,149,0,31,558,1,174,2012,315,143065,4,76,0,27028,0,2,9,0,0,0,0,0,4,0,500,243331,155,0,30,0,2,0
Maximilian,Mehlbacher,2,5,0,74,2,31,2004,1,186,19,315,145122,4,77,0,27092,3,1,5,0,0,0,0,0,2,0,500,243332,21,0,30,0,5,3
Aurelio,Oriol Gaspar,2,0,0,150,0,31,2008,2,178,54,315,144940,4,84,0,27072,4,0,3,0,0,0,0,0,3,0,500,243333,45,0,30,0,2,0
Jett,Colling,2,5,14,129,1,31,2027,1,182,2012,315,143603,4,78,0,27071,0,6,2,0,0,0,0,0,2,0,500,250793,195,0,30,0,2,3
Miloje,Tomčić,2,3,4,93,1,31,1516,1,186,2012,315,145269,4,82,0,27112,0,1,5,0,0,0,0,0,2,0,500,250794,51,0,30,0,5,3
Aske,Hemmingsen,2,6,8,0,1,31,3505,1,186,1,315,145731,4,81,0,27099,0,1,5,0,0,0,0,0,2,0,500,251117,13,0,30,0,6,3
Moray,Baird,2,3,0,111,1,31,9,1,181,50,315,147481,4,84,0,27082,4,1,2,0,0,0,0,0,2,0,500,252127,42,0,30,0,2,3
Alasdair,McMann,2,2,0,158,1,31,2014,1,178,50,315,145529,4,82,0,27074,3,0,2,0,0,0,0,0,3,0,500,252128,42,0,30,0,2,3
Ruaridh,Monroe,2,5,0,16,1,31,2000,1,184,50,315,145039,4,80,0,27036,4,0,10,0,0,0,0,0,2,0,500,252129,42,0,30,0,3,3
Innes,McKellar,2,6,0,119,1,31,2004,1,179,50,315,147019,4,77,0,27080,0,1,4,0,0,0,0,0,4,0,500,252130,42,0,30,0,2,0
Hadrien,Dumortier,2,3,0,21,1,31,2517,1,186,16,315,149357,4,82,0,27084,0,1,7,0,0,0,0,0,3,0,500,256907,18,0,30,0,5,0
Timothée,Géroux,2,0,0,544,1,31,3000,1,188,16,315,147775,4,84,0,27050,4,0,9,0,0,0,0,0,9,0,500,256908,18,0,30,0,5,0
Vincent,Lentvogt,2,5,0,77,1,31,1517,1,191,19,315,148895,4,86,0,27082,4,0,2,0,0,0,0,0,2,0,500,256910,21,0,30,0,4,6
Jannik,Zöckler,0,3,0,93,1,31,4005,1,187,19,315,148713,4,81,0,27036,4,1,10,0,0,0,0,0,2,0,500,256911,21,0,30,0,5,3
Robin,Cainsdorf,2,2,0,74,1,31,7,1,191,2076,315,146976,4,87,0,27072,4,0,3,0,0,0,0,0,3,0,500,256985,21,0,30,0,5,6
Chatura,Gaurab,51,9,0,105,1,31,2506,1,178,2149,315,143932,4,76,0,27033,0,6,9,0,0,0,0,0,6,0,500,262003,159,0,30,0,3,6
Ranjit,Kadakia,2,0,0,160,1,31,1500,1,186,2149,315,147509,4,78,0,27032,3,0,3,0,0,0,0,0,7,0,500,262012,159,0,30,0,4,0
Narendra,Mamdani,51,9,0,292,1,31,2500,1,188,2149,315,147047,4,82,0,27035,0,0,9,0,0,0,0,0,8,0,500,262013,159,0,30,0,5,3
Mahit,Faujdar,2,0,0,114,1,31,1524,1,184,2149,315,144213,4,77,0,27034,0,0,9,0,0,0,0,0,7,0,500,262014,159,0,30,0,2,0
Wouter,Wiegerink,2,0,0,1,1,31,1016,1,187,10,315,146012,4,84,0,27076,3,0,9,0,0,0,0,0,9,0,500,262374,34,0,30,0,5,0
Gennaro,Scarpulla,2,0,0,0,1,31,2002,1,189,31,315,147131,4,86,0,27099,0,1,5,0,0,0,0,0,2,0,500,262375,27,0,30,0,5,0
Marcela,Sostoni,102,6,0,570,1,31,7000,1,175,353,315,146907,4,60,1,40950,4,5,5,0,0,0,0,0,4,0,500,267487,52,0,30,0,1,1
Anne,De Vaert,102,1,0,53,1,31,5500,1,180,4,315,146907,4,60,1,40955,2,4,1,0,0,0,0,0,2,0,500,267488,7,0,30,0,1,1
Edith,Vancruysse,103,6,0,540,1,31,5501,1,165,4,315,146907,4,60,1,40954,0,4,8,0,0,0,0,0,2,0,500,267489,7,0,30,0,7,1
Amalie Lotte,Bundgaard,100,2,0,647,1,31,5502,1,176,1,315,146938,4,60,1,40961,0,4,2,0,0,0,0,0,3,0,500,267499,13,0,30,0,1,1
Audrey,Sargnac,102,3,0,636,1,31,5503,1,182,16,315,146938,4,65,1,40959,0,4,2,0,0,0,0,0,2,0,500,267500,18,0,30,0,2,3
Coralie,Fabrier,102,1,0,516,1,31,5505,1,166,17,315,146938,4,60,1,40756,2,4,1,0,0,0,0,0,2,0,500,267503,18,0,30,0,7,1
Lola,Depeyre,100,1,0,570,1,31,5506,1,184,17,315,146938,4,62,1,40954,0,4,8,0,0,0,0,0,2,0,500,267504,18,0,30,0,1,6
