firstname,surname,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,cardstrictness,shoecolorcode2,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,socklengthcode,weight,gender,headassetid,faceposerpreset,eyebrowcode,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,nationalitycode,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Esben,Schjønberg,2,3,0,150,0,31,1512,2,172,1,315,146600,4,77,0,27108,3,0,6,0,0,0,0,0,2,0,500,188446,13,0,30,0,3,3
Jean,Rabault,0,6,0,37,0,31,2012,1,183,17,315,146600,4,71,0,27099,0,0,5,0,0,0,0,0,2,0,500,188448,18,0,30,0,1,6
Fabrice,Madoulet,51,0,0,1,2,31,4502,2,177,17,315,146600,4,85,0,27050,4,2,9,0,0,0,0,0,9,0,500,188449,18,0,30,0,3,0
Dietmar,Schönlebe,51,5,0,277,2,31,24,1,180,2076,315,146600,4,78,0,27067,0,0,2,0,0,0,0,0,3,0,500,188451,21,0,30,0,2,3
Vitor,Secretario,2,0,0,144,1,31,1,2,180,308,315,144877,4,70,0,27085,4,1,4,0,0,0,0,0,3,0,500,188452,38,0,30,0,2,0
Steffen,Schwurbel,0,1,0,64,2,31,2002,1,179,2076,315,146600,4,70,0,27078,4,1,5,0,0,0,0,0,1,0,500,188455,21,0,30,0,1,1
Jasper,de Waart,2,0,0,129,1,31,2016,1,172,10,315,144814,4,70,0,27036,4,0,10,0,0,0,0,0,2,0,500,188457,34,0,30,0,2,0
Torjus,Løken,2,5,0,102,0,31,2,1,185,41,315,146600,4,73,0,27081,0,0,4,0,0,0,0,0,5,0,500,188461,36,0,30,0,4,6
Njål,Flaten,2,1,0,92,1,31,18,2,172,41,315,146600,4,75,0,27067,0,0,2,0,0,0,0,0,3,0,500,188462,36,0,30,0,3,1
Guilherme,Santoso,2,0,10,37,1,31,2505,1,175,308,315,146600,4,70,0,27080,0,0,4,0,0,0,0,0,4,0,500,188465,38,0,30,0,2,0
Ignacio,Muñiz Villate,51,0,0,65,2,31,1505,2,179,54,315,146600,4,84,0,27073,3,0,3,0,0,0,0,0,3,0,500,188474,45,0,30,0,3,0
Ludvig,Walfridsson,0,6,4,129,1,31,20,0,180,56,315,146814,4,76,0,27112,0,0,5,0,0,0,0,0,2,0,500,188475,46,0,30,0,2,3
Kristoffer,Frohlander,1,5,0,16,1,31,8,1,182,56,315,146600,4,70,0,27071,0,0,2,0,0,0,0,0,2,0,500,188476,46,0,30,0,1,1
Henry,McDillon,51,6,0,75,1,31,3505,2,178,65,315,141597,4,73,0,27083,0,0,1,0,0,0,0,0,2,0,500,209677,25,0,30,0,2,6
Conor,O'Connelly,2,3,0,37,1,31,2016,0,177,65,315,142583,4,72,0,27071,0,0,2,0,0,0,0,0,2,0,500,209678,25,0,30,0,2,0
Sheamus,McArthur,51,7,0,29,2,31,13,1,180,65,315,142920,4,78,0,27067,0,1,2,0,0,0,0,0,3,0,500,209679,25,0,30,0,2,7
Fedder,Gotthard,1,3,8,39,1,31,4001,1,187,80,315,144078,4,81,0,27092,3,1,5,0,0,0,0,0,2,0,500,209683,4,0,30,0,5,3
Lutz,Gersthofer,51,2,8,65,0,31,2003,1,174,80,315,142288,4,75,0,27082,4,0,2,0,0,0,0,0,2,0,500,209684,4,0,30,0,3,1
Heribert,Allmaier,51,3,12,92,1,31,1501,2,189,80,315,141043,4,77,0,27067,0,0,2,0,0,0,0,0,3,0,500,209685,4,0,30,0,4,3
Harald,Fimmler,1,7,0,42,1,31,2000,0,179,19,315,145614,4,77,0,27081,0,0,4,0,0,0,0,0,5,0,500,209686,21,0,30,0,2,7
Jascha,Zurheide,2,2,0,155,0,31,3500,1,182,19,315,144318,4,75,0,27112,0,0,5,0,0,0,0,0,2,0,500,209687,21,0,30,0,2,6
Rafael,Ruibal Losada,51,0,12,57,0,31,2004,1,181,54,315,145477,4,76,0,27079,4,0,9,0,0,0,0,0,5,0,500,209689,45,0,30,0,1,0
Ansgar,von Hauenstein,51,9,3,93,1,31,37,2,192,19,315,143329,4,83,0,27074,3,2,2,0,0,0,0,0,3,0,500,209690,21,0,30,0,4,0
Daniel,Soengas Bello,51,0,17,150,1,31,0,2,177,53,315,146212,4,82,0,27051,0,1,3,0,0,0,0,0,4,0,500,209692,45,0,30,0,3,0
Álvaro,Arias Romera,51,0,8,118,1,31,7,1,179,53,315,144890,4,76,0,27085,4,0,4,0,0,0,0,0,3,0,500,209693,45,0,30,0,2,0
Federico,Ramos Navarro,2,0,6,115,1,31,2010,2,172,54,315,145689,4,70,0,27077,0,0,4,0,0,0,0,0,4,0,500,209694,45,0,30,0,2,0
Laurent,Glaisyer,2,5,0,115,1,31,2022,1,183,189,315,143367,4,76,0,27085,4,0,4,0,0,0,0,0,3,0,500,209712,47,0,30,0,2,6
Dario,Nuessli,51,0,0,119,0,31,528,0,178,189,315,142778,4,71,0,27051,0,1,3,0,0,0,0,0,4,0,500,209714,47,0,30,0,2,0
Eufemio,Lafranchi,2,3,0,147,1,31,1517,0,186,189,315,144050,4,76,0,27109,0,0,3,0,0,0,0,0,3,0,500,209716,47,0,30,0,4,3
Gwidon,Pietrzykowski,51,3,3,0,0,31,0,1,187,66,315,141500,4,79,0,27112,0,0,5,0,0,0,0,0,2,0,500,209777,37,0,30,0,5,3
Nikodem,Dworaczyk,51,0,6,77,1,31,22,1,174,66,315,139435,4,80,0,27112,0,0,5,0,0,0,0,0,2,0,500,209778,37,0,30,0,3,0
Kasper,Krosby,2,3,6,83,1,31,12,2,186,56,315,143466,4,83,0,27083,0,0,1,0,0,0,0,0,2,0,500,209788,46,0,30,0,5,0
Pontus,Ortendhal,51,5,8,0,0,31,18,1,184,56,315,142602,4,70,0,27110,0,1,7,0,0,0,0,0,2,0,500,209790,46,0,30,0,1,0
Sven,Solomonsson,1,1,0,154,2,31,6,1,176,56,315,144151,4,68,0,27067,0,6,2,0,0,0,0,0,3,0,500,209791,46,0,30,0,2,1
Graham,Boverick,2,0,0,104,0,31,2027,2,185,351,315,144978,4,80,0,27092,3,0,5,0,0,0,0,0,2,0,500,209792,195,0,30,0,5,0
Pat,Framlow,2,3,4,74,1,31,3505,1,177,351,315,144763,4,73,0,27081,0,1,4,0,0,0,0,0,5,0,500,209793,195,0,30,0,2,0
Josh,Brithwell,2,2,6,43,2,31,1517,0,178,351,315,142142,4,68,0,27112,0,2,5,0,0,0,0,0,2,0,500,209794,195,0,30,0,2,6
Buk-Chol,Choi,1,0,0,115,1,31,519,1,170,83,315,144100,4,72,0,27115,3,0,9,0,0,0,0,0,3,0,500,209808,167,0,30,0,8,0
Yoon-Fang,Lee,1,0,0,137,0,31,522,0,178,83,315,140217,4,71,0,27111,4,0,9,0,0,0,0,0,2,0,500,209809,167,0,30,0,1,0
Sébastien,Mittré,2,3,0,115,0,31,2010,0,178,16,315,143061,4,74,0,27080,0,0,4,0,0,0,0,0,4,0,500,209821,18,0,30,0,2,3
Jean-Daniel,Lacagne,2,6,0,65,1,31,1511,2,183,17,315,142555,4,71,0,27081,0,0,4,0,0,0,0,0,5,0,500,209822,18,0,30,0,1,6
Roald,Wikborg,2,0,0,8,1,31,2000,0,178,41,315,143353,4,66,0,27080,0,0,4,0,0,0,0,0,4,0,500,209847,36,0,30,0,1,0
Austen,Bayliffe,2,9,0,17,1,31,10,1,181,39,315,145021,4,77,0,27092,3,1,5,0,0,0,0,0,2,0,500,209882,95,0,30,0,2,1
Gavin,Monksfield,0,3,0,138,1,31,4001,1,183,65,315,147399,4,69,0,27082,4,0,2,0,0,0,0,0,2,0,500,209883,25,0,30,0,1,3
Laurits,Tyllesen,2,0,6,75,1,31,3501,1,177,1,315,143578,4,73,0,27081,0,0,4,0,0,0,0,0,5,0,500,209891,13,0,30,0,2,0
Afonso,Masarenhas,2,0,6,61,0,31,2507,1,189,308,315,143199,4,83,0,27079,4,1,9,0,0,0,0,0,5,0,500,209897,38,0,30,0,5,0
Arcibaldo,Pombal,2,0,0,16,1,31,2505,0,179,308,315,144700,4,67,0,27073,3,0,3,0,0,0,0,0,3,0,500,209899,38,0,30,0,1,0
Baptiste,Alacoque,2,6,8,65,1,31,1509,1,191,16,315,143665,4,84,0,27085,4,0,4,0,0,0,0,0,3,0,500,209902,18,0,30,0,5,6
Philippe,Daboussier,0,3,3,57,2,31,2019,1,184,17,315,146020,4,72,0,27074,3,0,2,0,0,0,0,0,3,0,500,209904,18,0,30,0,1,3
Viggo,Toksvig,2,3,7,111,2,31,18,0,179,1,315,144041,4,78,0,27036,4,1,10,0,0,0,0,0,2,0,500,209913,13,0,30,0,2,3
Klemens,Pilegaard,51,2,0,25,1,31,25,0,187,1,315,141960,4,82,0,27110,0,2,7,0,0,0,0,0,2,0,500,209914,13,0,30,0,5,1
Ian,Lowcroft,51,0,5,2,0,31,1005,1,185,76,315,143073,4,84,0,27076,3,0,9,0,0,0,0,0,9,0,500,209923,14,0,30,0,6,0
Grant,Lindum,2,6,6,135,2,31,16,1,183,78,315,145037,4,79,0,27099,0,0,5,0,0,0,0,0,2,0,500,209926,14,0,30,0,2,6
Gianluca,Del Tarano,2,3,12,119,1,31,2027,1,180,31,315,144452,4,72,0,27092,3,1,5,0,0,0,0,0,2,0,500,209927,27,0,30,0,1,3
Filippo,Giacoletti,2,3,0,115,2,31,1,1,176,31,315,145043,4,69,0,27072,4,1,3,0,0,0,0,0,3,0,500,209928,27,0,30,0,1,3
Gijsbert,Declerck,2,1,0,119,2,31,4,1,185,4,315,142450,4,77,0,27071,0,0,2,0,0,0,0,0,2,0,500,209938,7,0,30,0,5,1
Jochem,Van Vosselen,1,12,0,102,1,31,25,2,175,4,315,141224,4,72,0,27092,3,2,5,0,0,0,0,0,2,0,500,209939,7,0,30,0,3,7
Siem,Decauwer,0,0,17,13,0,31,529,1,188,4,315,145198,4,74,0,27085,4,1,4,0,0,0,0,0,3,0,500,209940,7,0,30,0,4,0
Joep,Druppers,2,3,4,44,2,31,1,1,182,10,315,144339,4,80,0,27083,0,1,1,0,0,0,0,0,2,0,500,209941,34,0,30,0,3,3
Luuk,Hoebacke,2,6,0,29,1,31,2515,0,191,10,315,142161,4,85,0,27072,4,1,3,0,0,0,0,0,3,0,500,209942,34,0,30,0,5,3
Pim,van Tilburgh,2,0,0,70,0,31,508,1,179,10,315,143762,4,69,0,27074,3,0,2,0,0,0,0,0,3,0,500,209943,34,0,30,0,1,0
Fuad,Al-Rishani,1,0,3,16,1,31,2510,0,174,350,315,140895,4,62,0,27109,0,1,3,0,0,0,0,0,3,0,500,209944,183,0,30,0,1,0
Abdulmajeed,Al-Reshedi,1,0,0,22,1,31,2517,1,183,350,315,145871,4,78,0,27106,0,0,3,0,0,0,0,0,4,0,500,209945,183,0,30,0,2,0
Mazhar,Al-Amur,51,0,6,90,0,31,2504,1,172,350,315,143800,4,65,0,27093,0,1,4,0,0,0,0,0,3,0,500,209946,183,0,30,0,2,0
Alvaro,Aldgate,1,3,0,8,1,31,1509,1,177,39,315,145627,4,73,0,27037,3,1,3,0,0,0,0,0,5,0,500,210589,95,0,30,0,3,3
Wilson,Mountland,51,2,0,92,0,31,2014,1,182,39,315,144606,4,71,0,27074,3,2,2,0,0,0,0,0,3,0,500,210590,95,0,30,0,1,1
Jefferson,Robertford,2,0,3,119,1,31,4005,0,175,39,315,141639,4,82,0,27110,0,0,7,0,0,0,0,0,2,0,500,210594,95,0,30,0,3,0
Oliver Benito,Ledesma,0,3,4,149,1,31,1512,2,174,353,315,144751,4,71,0,27077,0,2,4,0,0,0,0,0,4,0,500,214502,52,0,30,0,2,0
Gabriel,Santiseban,2,0,3,114,1,31,1516,1,175,353,315,144752,4,75,0,27072,4,1,3,0,0,0,0,0,3,0,500,214865,52,0,30,0,3,0
Jerónimo,Santarelli,1,0,6,156,2,31,2500,1,183,353,315,144250,4,75,0,27073,3,0,3,0,0,0,0,0,3,0,500,214866,52,0,30,0,2,0
Maximiliano,Recobedo,2,0,0,119,1,31,528,2,178,353,315,144568,4,75,0,27077,0,2,4,0,0,0,0,0,4,0,500,214867,52,0,30,0,2,0
Yusri,Kao,51,0,0,111,1,31,509,1,176,76,315,141224,4,73,0,27029,1,0,9,0,0,0,0,0,4,0,500,221033,184,0,30,0,1,0
Dawud,Al-Habash,2,0,4,29,1,31,2506,1,174,76,315,144659,4,76,0,27093,0,1,4,0,0,0,0,0,3,0,500,221034,150,0,30,0,1,0
Shahzad,Abu Shakra,51,0,4,114,1,31,1518,1,177,76,315,142525,4,80,0,27106,0,0,3,0,0,0,0,0,4,0,500,221035,182,0,30,0,1,0
Hoo-gwo,Xiang,1,0,0,128,1,31,519,1,167,76,315,144247,4,62,0,27030,4,0,9,0,0,0,0,0,3,0,500,221037,155,0,30,0,3,0
Azlan,Hamberi,1,0,0,105,0,31,538,0,176,76,315,144772,4,72,0,27115,3,0,9,0,0,0,0,0,3,0,500,221045,173,0,30,0,1,0
Lamon,Darawan,2,0,0,16,0,31,543,1,177,76,315,144700,4,73,0,27113,4,1,3,0,0,0,0,0,4,0,500,221047,188,0,30,0,3,0
Radovan,Palenković,51,23,6,102,1,31,22,1,197,80,315,141294,4,92,0,27073,3,0,3,0,0,0,0,0,3,0,500,221049,51,0,30,0,5,22
Matthew,Mzizi,51,0,0,28,1,31,1009,2,181,76,315,143781,4,82,0,27070,3,0,9,0,0,0,0,0,7,0,500,221100,140,0,30,0,2,0
Vyacheslav,Bondartchuk,2,3,4,66,1,31,1503,1,177,76,315,144289,4,77,0,27112,0,1,5,0,0,0,0,0,2,0,500,221118,49,0,30,0,2,6
Leonidas,Lambrakis,51,0,0,103,1,31,2517,1,181,76,315,142340,4,77,0,27051,0,1,3,0,0,0,0,0,4,0,500,221119,22,0,30,0,2,0
Regis,Graver,1,0,0,280,1,31,1007,2,185,78,315,143541,4,84,0,27068,2,0,3,0,0,0,0,0,8,0,500,221153,148,0,30,0,5,0
Michael,Oliver,2,3,0,65,1,31,2016,1,182,13,302,146957,4,72,0,27036,4,1,10,0,0,0,1,0,2,0,500,221871,14,0,30,0,2,3
Robert,Madley,2,9,0,43,1,31,2012,0,188,14,302,147185,4,88,0,27099,0,0,5,0,0,0,1,0,2,0,500,221902,14,0,30,0,5,6
Craig,Pawson,51,5,0,65,2,31,1522,0,182,13,302,144775,4,76,0,27071,0,0,2,0,0,0,1,0,2,0,500,221949,14,0,30,0,2,6
Anthony,Taylor,51,3,0,0,1,31,2500,0,180,13,302,144642,4,76,0,27099,0,0,5,0,0,0,1,0,2,0,500,221950,14,0,30,0,2,6
Enis,Balbay,2,0,7,30,1,31,2511,1,177,68,315,143943,4,72,0,27092,3,0,5,0,0,0,0,0,2,0,500,222948,48,0,30,0,2,0
Feridun,Doğançay,2,0,0,142,1,31,1520,2,184,68,315,144535,4,77,0,27109,0,1,3,0,0,0,0,0,3,0,500,222949,48,0,30,0,1,0
Ingrún,Svansdóttir,103,5,0,512,1,31,9504,2,165,2136,315,145553,4,55,1,40961,0,4,2,0,0,0,0,0,3,0,500,226903,24,0,30,0,8,1
Anna,Poltavkina,100,1,0,520,1,31,7501,1,172,2226,315,147188,4,61,1,226904,0,4,2,0,1,0,0,0,1,0,500,226904,40,0,30,0,2,6
Bethany,Callanish,151,3,0,536,0,31,7018,1,168,2136,315,145755,4,61,1,40958,4,5,8,0,0,0,0,0,2,0,500,226905,42,0,30,0,7,6
Neea,Jokelainen,100,6,0,538,1,31,10501,1,173,2136,315,147399,4,59,1,226907,0,4,6,0,1,0,0,0,1,0,500,226907,17,0,30,0,1,6
Graham,Scott,51,1,0,150,0,31,2009,1,188,13,302,140980,4,84,0,27067,0,0,2,0,0,0,1,0,3,0,500,228958,14,0,30,0,5,6
Darren,Drysdale,51,3,4,0,1,31,15,1,182,60,302,141841,4,77,0,27110,0,0,7,0,0,0,1,0,2,0,500,231757,14,0,30,0,1,0
Geoff,Eltringham,51,5,0,297,2,31,2016,2,174,14,302,141397,4,73,0,27067,0,1,2,0,0,0,1,0,3,0,500,231759,14,0,30,0,3,3
Darren,England,2,6,0,77,2,31,4003,2,178,13,302,147027,4,75,0,27078,4,2,5,0,0,0,1,0,1,0,500,231760,14,0,30,0,2,6
Jeremy,Simpson,51,6,0,297,2,31,2,2,177,14,302,143588,4,75,0,27112,0,0,5,0,0,0,1,0,2,0,500,231764,14,0,30,0,1,3
Seb,Stockbridge,51,9,6,117,2,31,2022,0,178,60,302,146510,4,75,0,27109,0,1,3,0,0,0,1,0,3,0,500,231765,14,0,30,0,1,6
Keith,Stroud,51,5,0,114,2,31,2005,2,170,14,302,141286,4,68,0,27081,0,2,4,0,0,0,1,0,5,0,500,231766,14,0,30,0,7,6
Lee,Swabey,51,12,0,40,1,31,2000,1,174,61,302,146327,4,69,0,27071,0,2,2,0,0,0,1,0,2,0,500,231768,14,0,30,0,3,7
Paul,Tierney,2,3,0,114,0,31,2502,2,176,13,302,145176,4,70,0,27092,3,2,5,0,0,0,1,0,2,0,500,231769,14,0,30,0,2,3
Ben,Toner,2,6,0,16,0,31,2012,2,180,61,302,147241,4,75,0,27036,4,1,10,0,0,0,1,0,2,0,500,231770,14,0,30,0,1,3
Gavin,Ward,2,2,0,114,0,31,2008,1,174,14,302,144657,4,72,0,27082,4,0,2,0,0,0,1,0,2,0,500,231771,14,0,30,0,1,1
David,Webb,2,6,0,154,0,31,2004,0,172,14,302,144319,4,73,0,27072,4,0,3,0,0,0,1,0,3,0,500,231772,14,0,30,0,2,6
Dean,Whitestone,2,0,0,16,0,31,2021,1,178,14,302,143832,4,77,0,27073,3,0,3,0,0,0,1,0,3,0,500,231773,14,0,30,0,1,0
Andy,Haines,51,9,0,26,1,31,4000,1,183,60,315,139706,4,78,0,27067,0,2,2,0,0,0,1,0,3,0,500,231779,14,0,30,0,2,6
Darren,Handley,51,9,0,43,1,31,15,1,179,60,302,144228,4,79,0,27072,4,1,3,0,0,0,1,0,3,0,500,231780,14,0,30,0,3,3
Ross,Joyce,2,6,0,16,2,31,24,1,173,60,302,147496,4,83,0,27081,0,0,4,0,0,0,1,0,5,0,500,231782,14,0,30,0,2,3
Chris,Kavanagh,2,0,0,65,2,31,2512,0,188,13,302,146955,4,85,0,27036,4,1,10,0,0,0,1,0,2,0,500,231783,14,0,30,0,5,0
Oliver,Langford,51,6,0,65,1,31,2027,1,175,14,302,145166,4,77,0,27112,0,2,5,0,0,0,1,0,2,0,500,231787,14,0,30,0,2,6
Tony,Harrington,2,6,0,77,2,31,10,2,172,13,302,146411,4,78,0,27081,0,2,4,0,0,0,1,0,5,0,500,231788,14,0,30,0,1,3
Rob,Lewis,51,3,0,290,0,31,2006,1,168,61,302,141266,4,88,0,27078,4,2,5,0,0,0,1,0,1,0,500,231789,14,0,30,0,9,1
James,Linington,2,3,0,114,2,31,2007,2,188,14,302,144960,4,90,0,27072,4,2,3,0,0,0,1,0,3,0,500,231791,14,0,30,0,6,3
Simon,Hooper,2,6,0,0,1,31,2007,2,175,13,302,146006,4,77,0,27110,0,6,7,0,0,0,1,0,2,0,500,231793,14,0,30,0,3,1
Andy,Madley,2,0,0,114,1,31,2027,2,190,13,302,146423,4,80,0,27084,0,0,7,0,0,0,1,0,3,0,500,231794,14,0,30,0,5,0
Stephen,Martin,2,6,0,114,0,31,5,1,182,14,302,145409,4,79,0,27071,0,2,2,0,0,0,1,0,2,0,500,231798,14,0,30,0,3,6
Tim,Robinson,0,0,0,150,2,31,2016,2,180,13,302,146227,4,85,0,27112,0,0,5,0,0,0,1,0,2,0,500,231804,14,0,30,0,2,0
Stuart,Attwell,2,3,0,37,2,31,1516,1,180,13,302,146089,4,74,0,27072,4,0,3,0,0,0,1,0,3,0,500,231893,14,0,30,0,1,3
Peter,Bankes,51,3,0,150,2,31,5,2,183,13,302,145865,4,85,0,27072,4,0,3,0,0,0,1,0,3,0,500,231894,14,0,30,0,2,3
Darren,Bond,51,9,0,119,1,31,25,1,175,13,302,145887,4,80,0,27081,0,0,4,0,0,0,1,0,5,0,500,231899,14,0,30,0,2,3
Carl,Boyeson,2,5,0,150,0,31,4,2,188,61,302,141153,4,90,0,27112,0,2,5,0,0,0,1,0,2,0,500,231900,14,0,30,0,5,6
Charles,Breakspear,2,6,6,0,2,31,16,2,180,60,302,148162,4,90,0,27099,0,2,5,0,0,0,1,0,2,0,500,231902,14,0,30,0,2,6
David,Coote,2,3,0,65,2,31,1526,2,181,13,302,146103,4,78,0,27074,3,0,2,0,0,0,1,0,3,0,500,231907,14,0,30,0,1,3
Andy,Davies,51,3,0,0,2,31,2501,0,175,14,302,143569,4,75,0,27110,0,2,7,0,0,0,1,0,2,0,500,231908,14,0,30,0,2,1
Ollie,Yates,2,6,0,61,1,31,4005,1,176,60,302,147503,4,75,0,27082,4,2,2,0,0,0,1,0,2,0,500,234546,14,0,30,0,1,6
John,Brooks,2,5,0,61,0,31,3507,2,189,13,302,149000,4,78,0,27082,4,0,2,0,0,0,1,0,2,0,500,234548,14,0,30,0,4,6
John,Busby,1,2,0,65,0,31,10,0,180,14,302,147500,4,78,0,27071,0,0,2,0,0,0,1,0,2,0,500,234549,14,0,30,0,2,7
Michael,Salisbury,2,2,0,17,1,31,6,2,186,13,302,146980,4,81,0,27085,4,0,4,0,0,0,1,0,3,0,500,234551,14,0,30,0,4,6
Robert,Jones,2,3,0,77,1,31,4000,2,182,13,302,147730,4,77,0,27082,4,0,2,0,0,0,1,0,2,0,500,234552,14,0,30,0,2,3
Mălin,Butacu,2,0,6,149,1,31,1518,2,178,330,315,141686,4,72,0,27084,0,1,7,0,0,0,0,0,3,0,500,237579,39,0,30,0,2,0
Zamfir,Izbașa,51,0,6,188,1,31,22,1,181,330,315,142603,4,74,0,27108,3,0,6,0,0,0,0,0,2,0,500,237583,39,0,30,0,2,0
Iacob,Săulescu,2,0,0,40,1,31,9,2,174,330,315,143130,4,68,0,27078,4,0,5,0,0,0,0,0,1,0,500,237584,39,0,30,0,2,3
Dragoș,Tismăneanu,2,6,0,16,1,31,4003,1,177,330,315,141862,4,70,0,27112,0,0,5,0,0,0,0,0,2,0,500,237585,39,0,30,0,1,6
Iwona,Małdowicz,104,1,0,504,1,31,7018,1,180,2136,315,149681,4,75,1,40954,0,6,8,0,0,0,0,0,2,0,500,239184,37,0,30,0,2,6
Anthony,Backhouse,2,3,0,30,1,31,7,1,182,14,302,149024,4,83,0,27078,4,2,5,0,0,0,1,0,1,0,500,239251,14,0,30,0,3,6
Martin,Coy,51,5,0,114,0,31,4003,1,170,61,302,146620,4,68,0,27072,4,6,3,0,0,0,1,0,3,0,500,239253,14,0,30,0,7,6
Craig,Hicks,2,3,0,149,1,31,2,2,185,61,302,147142,4,74,0,27093,0,0,4,0,0,0,1,0,3,0,500,239255,14,0,30,0,5,3
Tom,Nield,2,0,0,65,0,31,3500,1,188,61,302,149208,4,72,0,27072,4,0,3,0,0,0,1,0,3,0,500,239256,14,0,30,0,5,0
Scott,Oldham,2,2,0,77,0,31,2020,0,191,61,302,145941,4,81,0,27071,0,0,2,0,0,0,1,0,2,0,500,239257,14,0,30,0,5,1
